citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
airnet-neural-network-transmission-over-the-air-2021,2021,AirNet: Neural Network Transmission over the Air,Mikołaj Jankowski; Denız Gündüz; Krystian Mikolajczyk,arXiv (Cornell University),preprint,10.48550/arxiv.2105.11166,https://openalex.org/W4287177376,"State-of-the-art performance for many edge applications is achieved by deep neural networks (DNNs). Often, these DNNs are location- and time-sensitive, and must be delivered over a wireless channel rapidly and efficiently. In this paper, we introduce AirNet, a family of novel training and transmission methods that allow DNNs to be efficiently delivered over wireless channels under stringent transmit power and latency constraints. This corresponds to a new class of joint source-channel coding problems, aimed at delivering DNNs with the goal of maximizing their accuracy at the receiver, rather than recovering them with high fidelity. In AirNet, we propose the direct mapping of the DNN parameters to transmitted channel symbols, while the network is trained to meet the channel constraints, and exhibit robustness against channel noise. AirNet achieves higher accuracy compared to separation-based alternatives. We further improve the performance of AirNet by pruning the network below the available bandwidth, and expanding it for improved robustness. We also benefit from unequal error protection by selectively expanding important layers of the network. Finally, we develop an approach, which simultaneously trains a spectrum of DNNs, each targeting a different channel condition, resolving the impractical memory requirements of training distinct networks for different channel conditions.",https://doi.org/10.48550/arxiv.2105.11166,direct,指定团队负责人直接署名：Denız Gündüz,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
bandwidth-agile-image-transmission-with-deep-joint-source-channel-coding-2021,2021,Bandwidth-Agile Image Transmission With Deep Joint Source-Channel Coding,David Burth Kurka; Denız Gündüz,IEEE Transactions on Wireless Communications,preprint,10.1109/twc.2021.3090048,https://openalex.org/W3089229692,"We propose deep learning based communication methods for adaptive-bandwidth transmission of images over wireless channels. We consider the scenario in which images are transmitted progressively in layers over time or frequency, and such layers can be aggregated by receivers in order to increase the quality of their reconstructions. We investigate two scenarios, one in which the layers are sent sequentially, and incrementally contribute to the refinement of a reconstruction, and another in which the layers are independent and can be retrieved in any order. Those scenarios correspond to the well known problems of <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">successive refinement</i> and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">multiple descriptions</i> , respectively, in the context of joint source-channel coding (JSCC). We propose DeepJSCC- <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$l$ </tex-math></inline-formula> , an innovative solution that uses convolutional autoencoders, and present three architectures with different complexity trade-offs. To the best of our knowledge, this is the first practical multiple-description JSCC scheme developed and tested for practical information sources and channels. Numerical results show that DeepJSCC- <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$l$ </tex-math></inline-formula> can learn to transmit the source progressively with negligible losses in the end-to-end performance compared with a single transmission. Moreover, DeepJSCC- <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$l$ </tex-math></inline-formula> has comparable performance with state of the art digital progressive transmission schemes in the challenging low signal-to-noise ratio (SNR) and small bandwidth regimes, with the additional advantage of graceful degradation with channel SNR.",https://doi.org/10.1109/twc.2021.3090048,direct,指定团队负责人直接署名：Denız Gündüz,Imperial College London,2,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
deepjscc-q-channel-input-constrained-deep-joint-source-channel-coding-2021,2021,DeepJSCC-Q: Channel Input Constrained Deep Joint Source-Channel Coding,Tze-Yang Tung; David Burth Kurka; Mikołaj Jankowski; Denız Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2111.13042,https://openalex.org/W4226379375,"Recent works have shown that the task of wireless transmission of images can be learned with the use of machine learning techniques. Very promising results in end-to-end image quality, superior to popular digital schemes that utilize source and channel coding separation, have been demonstrated through the training of an autoencoder, with a non-trainable channel layer in the middle. However, these methods assume that any complex value can be transmitted over the channel, which can prevent the application of the algorithm in scenarios where the hardware or protocol can only admit certain sets of channel inputs, such as the use of a digital constellation. Herein, we propose DeepJSCC-Q, an end-to-end optimized joint source-channel coding scheme for wireless image transmission, which is able to operate with a fixed channel input alphabet. We show that DeepJSCC-Q can achieve similar performance to models that use continuous-valued channel input. Importantly, it preserves the graceful degradation of image quality observed in prior work when channel conditions worsen, making DeepJSCC-Q much more attractive for deployment in practical systems.",https://doi.org/10.48550/arxiv.2111.13042,direct,指定团队负责人直接署名：Denız Gündüz,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
deepwive-deep-learning-aided-wireless-video-transmission-2021,2021,DeepWiVe: Deep-Learning-Aided Wireless Video Transmission,Tze-Yang Tung; Denız Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2111.13034,https://openalex.org/W4286850437,"We present DeepWiVe, the first-ever end-to-end joint source-channel coding (JSCC) video transmission scheme that leverages the power of deep neural networks (DNNs) to directly map video signals to channel symbols, combining video compression, channel coding, and modulation steps into a single neural transform. Our DNN decoder predicts residuals without distortion feedback, which improves video quality by accounting for occlusion/disocclusion and camera movements. We simultaneously train different bandwidth allocation networks for the frames to allow variable bandwidth transmission. Then, we train a bandwidth allocation network using reinforcement learning (RL) that optimizes the allocation of limited available channel bandwidth among video frames to maximize overall visual quality. Our results show that DeepWiVe can overcome the cliff-effect, which is prevalent in conventional separation-based digital communication schemes, and achieve graceful degradation with the mismatch between the estimated and actual channel qualities. DeepWiVe outperforms H.264 video compression followed by low-density parity check (LDPC) codes in all channel conditions by up to 0.0462 on average in terms of the multi-scale structural similarity index measure (MS-SSIM), while beating H.265 + LDPC by up to 0.0058 on average. We also illustrate the importance of optimizing bandwidth allocation in JSCC video transmission by showing that our optimal bandwidth allocation policy is superior to the naïve uniform allocation. We believe this is an important step towards fulfilling the potential of an end-to-end optimized JSCC wireless video transmission system that is superior to the current separation-based designs.",https://doi.org/10.48550/arxiv.2111.13034,direct,指定团队负责人直接署名：Denız Gündüz,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
privacy-aware-communication-over-a-wiretap-channel-with-generative-networks-2021,2021,Privacy-Aware Communication Over a Wiretap Channel with Generative Networks,Ecenaz Erdemir; Pier Luigi Dragotti; Denız Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2110.04094,https://openalex.org/W4286908305,"We study privacy-aware communication over a wiretap channel using end-to-end learning. Alice wants to transmit a source signal to Bob over a binary symmetric channel, while passive eavesdropper Eve tries to infer some sensitive attribute of Alice's source based on its overheard signal. Since we usually do not have access to true distributions, we propose a data-driven approach using variational autoencoder (VAE)-based joint source channel coding (JSCC). We show through simulations with the colored MNIST dataset that our approach provides high reconstruction quality at the receiver while confusing the eavesdropper about the latent sensitive attribute, which consists of the color and thickness of the digits. Finally, we consider a parallel-channel scenario, and show that our approach arranges the information transmission such that the channels with higher noise levels at the eavesdropper carry the sensitive information, while the non-sensitive information is transmitted over more vulnerable channels.",https://doi.org/10.48550/arxiv.2110.04094,direct,指定团队负责人直接署名：Denız Gündüz,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
progressive-feature-transmission-for-split-inference-at-the-wireless-edge-2021,2021,Progressive Feature Transmission for Split Inference at the Wireless Edge,Qiao Lan; Qunsong Zeng; Petar Popovski; Denız Gündüz; Kaibin Huang,arXiv (Cornell University),preprint,10.48550/arxiv.2112.07244,https://openalex.org/W4200632823,"In edge inference, an edge server provides remote-inference services to edge devices. This requires the edge devices to upload high-dimensional features of data samples over resource-constrained wireless channels, which creates a communication bottleneck. The conventional solution of feature pruning requires that the device has access to the inference model, which is unavailable in the current scenario of split inference. To address this issue, we propose the progressive feature transmission (ProgressFTX) protocol, which minimizes the overhead by progressively transmitting features until a target confidence level is reached. The optimal control policy of the protocol to accelerate inference is derived and it comprises two key operations. The first is importance-aware feature selection at the server, for which it is shown to be optimal to select the most important features, characterized by the largest discriminant gains of the corresponding feature dimensions. The second is transmission-termination control by the server for which the optimal policy is shown to exhibit a threshold structure. Specifically, the transmission is stopped when the incremental uncertainty reduction by further feature transmission is outweighed by its communication cost. The indices of the selected features and transmission decision are fed back to the device in each slot. The optimal policy is first derived for the tractable case of linear classification and then extended to the more complex case of classification using a convolutional neural network. Both Gaussian and fading channels are considered. Experimental results are obtained for both a statistical data model and a real dataset. It is seen that ProgressFTX can substantially reduce the communication latency compared to conventional feature pruning and random feature transmission.",https://doi.org/10.48550/arxiv.2112.07244,direct,指定团队负责人直接署名：Denız Gündüz,,7,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-theory-of-semantic-communication-2022,2022,A Theory of Semantic Communication,Yulin Shao; Qi Cao; Denız Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2212.01485,https://openalex.org/W4310820235,"Semantic communication is an emerging research area that has gained a wide range of attention recently. Despite this growing interest, there remains a notable absence of a comprehensive and widely-accepted framework for characterizing semantic communication. This paper introduces a new conceptualization of semantic communication and formulates two fundamental problems, which we term language exploitation and language design. Our contention is that the challenge of language design can be effectively situated within the broader framework of joint source-channel coding theory, underpinned by a comprehensive end-to-end distortion metric. To tackle the language exploitation problem, we put forth three approaches: semantic encoding, semantic decoding, and a synergistic combination of both in the form of combined semantic encoding and decoding. Furthermore, we establish the semantic distortion-cost region as a critical framework for assessing the language exploitation problem. For each of the three proposed approaches, the achievable distortion-cost region is characterized. Overall, this paper aims to shed light on the intricate dynamics of semantic communication, paving the way for a deeper understanding of this evolving field.",https://doi.org/10.48550/arxiv.2212.01485,direct,指定团队负责人直接署名：Denız Gündüz,,12,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
beyond-transmitting-bits-context-semantics-and-task-oriented-communications-2022,2022,"Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications",Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae,IEEE Journal on Selected Areas in Communications,article,10.1109/jsac.2022.3223408,https://openalex.org/W4313455370,"Communication systems to date primarily aim at reliably communicating bit sequences. Such an approach provides efficient engineering designs that are agnostic to the meanings of the messages or to the goal that the message exchange aims to achieve. Next generation systems, however, can be potentially enriched by folding message semantics and goals of communication into their design. Further, these systems can be made cognizant of the context in which communication exchange takes place, thereby providing avenues for novel design insights. This tutorial summarizes the efforts to date, starting from its early adaptations, semantic-aware and task-oriented communications, covering the foundations, algorithms and potential implementations. The focus is on approaches that utilize information theory to provide the foundations, as well as the significant role of learning in semantics and task-aware communications.",https://doi.org/10.1109/jsac.2022.3223408,direct,指定团队负责人直接署名：Denız Gündüz,Imperial College London; Tsinghua University; Virginia Tech; Zhejiang Lab; Zhejiang University; The Ohio State University; Yonsei University; University College London,637,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,综述、教程、愿景或编者按，非正式技术研究论文,,pending,,,0,metadata_screened,
beyond-transmitting-bits-context-semantics-and-task-oriented-communications-2022,2022,"Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications",Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae,arXiv (Cornell University),preprint,10.48550/arxiv.2207.09353,https://openalex.org/W4286224510,"Communication systems to date primarily aim at reliably communicating bit sequences. Such an approach provides efficient engineering designs that are agnostic to the meanings of the messages or to the goal that the message exchange aims to achieve. Next generation systems, however, can be potentially enriched by folding message semantics and goals of communication into their design. Further, these systems can be made cognizant of the context in which communication exchange takes place, providing avenues for novel design insights. This tutorial summarizes the efforts to date, starting from its early adaptations, semantic-aware and task-oriented communications, covering the foundations, algorithms and potential implementations. The focus is on approaches that utilize information theory to provide the foundations, as well as the significant role of learning in semantics and task-aware communications.",https://doi.org/10.48550/arxiv.2207.09353,direct,指定团队负责人直接署名：Denız Gündüz,,26,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
deep-joint-source-channel-and-encryption-coding-secure-semantic-communications-2022,2022,Deep Joint Source-Channel and Encryption Coding: Secure Semantic Communications,Tze-Yang Tung; Denız Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2208.09245,https://openalex.org/W4292761180,"Deep learning driven joint source-channel coding (JSCC) for wireless image or video transmission, also called DeepJSCC, has been a topic of interest recently with very promising results. The idea is to map similar source samples to nearby points in the channel input space such that, despite the noise introduced by the channel, the input can be recovered with minimal distortion. In DeepJSCC, this is achieved by an autoencoder architecture with a non-trainable channel layer between the encoder and decoder. DeepJSCC has many favorable properties, such as better end-to-end distortion performance than its separate source and channel coding counterpart as well as graceful degradation with respect to channel quality. However, due to the inherent correlation between the source sample and channel input, DeepJSCC is vulnerable to eavesdropping attacks. In this paper, we propose the first DeepJSCC scheme for wireless image transmission that is secure against eavesdroppers, called DeepJSCEC. DeepJSCEC not only preserves the favorable properties of DeepJSCC, it also provides security against chosen-plaintext attacks from the eavesdropper, without the need to make assumptions about the eavesdropper's channel condition, or its intended use of the intercepted signal. Numerical results show that DeepJSCEC achieves similar or better image quality than separate source coding using BPG compression, AES encryption, and LDPC codes for channel coding, while preserving the graceful degradation of image quality with respect to channel quality. We also show that the proposed encryption method is problem agnostic, meaning it can be applied to other end-to-end JSCC problems, such as remote classification, without modification. Given the importance of security in modern wireless communication systems, we believe this work brings DeepJSCC schemes much closer to adoption in practice.",https://doi.org/10.48550/arxiv.2208.09245,direct,指定团队负责人直接署名：Denız Gündüz,,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
