year,title,authors,venue,doi,volume,issue,pages,sources,matched_queries,screening_status,screening_reason
2022,Context-Based Semantic Communication via Dynamic Programming,Yichi Zhang; Haitao Zhao; Jibo Wei; Jiao Zhang; Mark F. Flanagan; Jun Xiong,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2022.3173056,,,,OpenAlex,knowledge base semantic communication,candidate,pending manual title/abstract/full-text screening
2022,OFDM-Guided Deep Joint Source Channel Coding for Wireless Multipath Fading Channels,Mingyu Yang; Chenghong Bian; Hun-Seok Kim,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2022.3151935,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2022,Semantic Coding for Text Transmission: An Iterative Design,Shengshi Yao; Kai Niu; Sixian Wang; Jincheng Dai,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2022.3192407,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2023,Deep Joint Source-Channel Coding for Image Transmission With Visual Protection,Jialong Xu; Bo Ai; Wei Chen; Ning Wang; Miguel Rodrigues,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3306851,9,6,1399-1411,Crossref; OpenAlex,Joint Source-Channel Coding; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2023,Deep Stacked Autoencoder-Based Long-Term Spectrum Prediction Using Real-World Data,Guangliang Pan; Qihui Wu; Guoru Ding; Wei Wang; Jie Li; XU Fu-yuan; Bo Zhou,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3254524,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2023,Joint Source-Channel Coding for a Multivariate Gaussian Over a Gaussian MAC Using Variational Domain Adaptation,Yishen Li; Xuechen Chen; Xiaoheng Deng,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3294754,9,6,1424-1437,Crossref; OpenAlex,Joint Source-Channel Coding; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2023,Neuromorphic Wireless Cognition: Event-Driven Semantic Communications for Remote Inference,Jiechen Chen; Nicolas Skatchkovsky; Osvaldo Simeone,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3236940,9,2,252-265,Crossref; OpenAlex,Semantic Communications; learned network coding image transmission,candidate,pending manual title/abstract/full-text screening
2023,Non-Orthogonal Multiple Access Enhanced Multi-User Semantic Communication,Weizhi Li; Haotai Liang; Chen Dong; Xiaodong Xu; Ping Zhang; Kaijun Liu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3306852,9,6,1438-1453,Crossref; OpenAlex,Semantic Communication; semantic information transmission,candidate,pending manual title/abstract/full-text screening
2023,Semantics-Native Communication via Contextual Reasoning,Hyowoon Seo; Jihong Park; Mehdi Bennis; Mérouane Debbah,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3250206,,,,OpenAlex,semantic communication quantization,candidate,pending manual title/abstract/full-text screening
2024,Adaptable Semantic Compression and Resource Allocation for Task-Oriented Communications,Chuanhong Liu; Caili Guo; Yang Yang; Nan Jiang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3346481,10,3,769-782,Crossref; OpenAlex,Semantic Compression; Task-Oriented Communications; semantic resource allocation,candidate,pending manual title/abstract/full-text screening
2024,Adaptive Compression Offloading and Resource Allocation for Edge Vision Computing,Wenjing Xiao; Yixue Hao; Junbin Liang; Long Hu; Salman A. AlQahtani; Min Chen,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3400820,10,6,2357-2369,Crossref; OpenAlex,Adaptive Compression Offloading and Resource Allocation for Edge Vision; adaptive compression offloading edge vision,candidate,pending manual title/abstract/full-text screening
2024,Adaptive Modulation and Retransmission Scheme for Semantic Communication Systems,Huiguo Gao; Guanding Yu; Yunlong Cai,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3315386,10,1,150-163,Crossref; OpenAlex,Semantic Communication; goal-oriented communication,candidate,pending manual title/abstract/full-text screening
2024,DeepMA: End-to-End Deep Multiple Access for Wireless Image Transmission in Semantic Communication,Wenyu Zhang; Kaiyuan Bai; Sherali Zeadally; Haijun Zhang; Hua Shao; Hui Ma; Victor C. M. Leung,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3326302,10,2,387-402,Crossref; OpenAlex,Semantic Communication; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2024,Feature Importance-Aware Task-Oriented Semantic Transmission and Optimization,Yining Wang; Shujun Han; Xiaodong Xu; Haotai Liang; Rui Meng; Chen Dong; Ping Zhang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3375496,10,4,1175-1189,Crossref; OpenAlex,Task-Oriented Semantic; importance-aware communication,candidate,pending manual title/abstract/full-text screening
2024,Generative AI for Physical Layer Communications: A Survey,Nguyễn Văn Huynh; Jiacheng Wang; Hongyang Du; Dinh Thai Hoang; Dusit Niyato; Diep N. Nguyen; Dong In Kim; Khaled B. Letaief,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3384500,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2024,Generative AI for Secure Physical Layer Communications: A Survey,Changyuan Zhao; Hongyang Du; Dusit Niyato; Jiawen Kang; Zehui Xiong; Dong In Kim; Xuemin Shen; Khaled B. Letaief,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3438379,,,,OpenAlex,semantic communications,candidate,pending manual title/abstract/full-text screening
