year,volume,issue,pages,title,authors,venue,doi,screening_status,screening_reason,publication_year_basis
2023,,,,Deep Stacked Autoencoder-Based Long-Term Spectrum Prediction Using Real-World Data,Guangliang Pan; Qihui Wu; Guoru Ding; Wei Wang; Jie Li; XU Fu-yuan; Bo Zhou,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3254524,excluded,"spectrum prediction; semantic denotes learned features, not communicated meaning",
2024,,,,Generative AI for Physical Layer Communications: A Survey,Nguyễn Văn Huynh; Jiacheng Wang; Hongyang Du; Dinh Thai Hoang; Dusit Niyato; Diep N. Nguyen; Dong In Kim; Khaled B. Letaief,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3384500,excluded,"broad physical-layer Generative-AI survey, not centered on semantic communication",
2024,,,,Integrated Cognitive Symbiotic Computing and Ambient Backscatter Communication Network,Chao Ren; Yanglin Hu; Lei Sun; Haojin Li; Chen Sun; Haijun Zhang; Arumugam Nallanathan; Victor C. M. Leung,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3439628,excluded,task-oriented communication/computing resource sharing without a semantic payload or codec,
2024,,,,Multi-Agent Reinforcement Learning for Coordinating Communication and Control,Federico Mason; Federico Chiariotti; Andréa Zanella; Petar Popovski,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3384492,excluded,multi-agent control/communication optimization without a semantic-communication codec,
2025,,,,ERFS: Efficient Feature Graph Representation for Intrusion Detection Based on Flow Semantic Association,Yiqing Luo; Mingshu He; Xiaojuan Wang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3543357,excluded,"intrusion-detection feature representation, not semantic transmission",
2025,,,,GAI-AntiCopy: Infrequent Transformation Aided Accuracy-Consistent Copyright Protection for Generative AI Instructions in NGN,Yixin Fan; Jun Wu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3528893,excluded,"copyright protection of GAI instructions, not semantic communication",
2025,,,,Generative AI for Secure Physical Layer Communications: A Survey,Changyuan Zhao; Hongyang Du; Dusit Niyato; Jiawen Kang; Zehui Xiong; Dong In Kim; Xuemin Shen; Khaled B. Letaief,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3438379,excluded,"broad secure physical-layer Generative-AI survey, not centered on semantic communication",
2025,,,,Overlapping Entity Relation Extraction for Cybersecurity Based on Complex Tagging and Rule-Enhanced Prompt Learning,Zhaoyun Ding; Fei Wang; Fan Wu; Lehai Xin; Kai Liu; Deqi Cao,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3502516,excluded,"cybersecurity NLP relation extraction, not a communication system",
2026,12,,7893-7908,A Multimodal Agentic AI Framework for Environmental Reconstruction and Semantic Channel Modeling,Guangzheng Jing; Yixiao Tong; José Rodríguez-Piñeiro; Jingxiang Hong; Jiaxin Li; Siyang Tang; Xuefeng Yin,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3689820,excluded,"semantic-aware radio propagation/channel modeling, not meaning-level communication",
2026,,,,Few-Shot Compound Jamming Recognition Network Based on Image-Semantics Matching Mechanism,Qianyan Du; Shunkun Yang; Xia Lei,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3599569,excluded,jamming recognition; semantic matching is a classifier mechanism,
2026,,,,Incentive Mechanisms Design for Crowdsensing in Large Scale Artificial Intelligence of Things,Ruze Cai; Haipeng Yao; Tianle Mai; Jiaqi Xu; Chenlang Jin; Qun Li,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3601849,excluded,crowdsensing incentives without semantic coding/transmission,
2026,,,,LSGLM: An Efficient Threat Detection Method Based on Large-Scale Graph Parallelized Learning,Yiqing Luo; Mingshu He; XM. Wang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3689845,excluded,"graph threat detection, not semantic communication",
2026,,,,SCAW: Exploring Semantic Structures of Radio Signals via Soft Top- <i>k</i> Contrastive and Adaptive Consistency With Wavelet Refinement,Yong Zu; Shuyuan Yang; Zhixi Feng; Xinlei Zhang; Yanbin Lu; Shuai Chen; Jianxing Liu; Qiukai Pan,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3663600,excluded,self-supervised radio representation learning without semantic transmission,
2026,,,,Satellite-Aided Low-Altitude UAV Service Migration With Semantic Extraction and Generated Graphs,Qiongqiong Jia; Jie Zheng; Ling Gao; Jinping Niu; Rui Cao; Jie Ren,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3645425,excluded,"service migration/routing with semantic graphs, not semantic communication",
2026,,,,Side-Channel Attacks on Protected Cryptographic Devices in Agentic AI: A Wavelet Scattering-Based Multi-Channel CNN Approach,Xiaoyi Duan; Sihua Zhu; Tong Jing; Ding Ding,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3626384,excluded,"cryptographic side-channel classification, not communication semantics",
2026,,,,TrustPKBG: Trustworthy Protocol Knowledge Blueprints Generation via LLM for Low-Altitude AAV Networks,Fan Wu; Yuxin Zhang; Gaolei Li; Jianhua Li; Jin Ma,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3658765,excluded,"LLM protocol-blueprint generation, not semantic communication",
