year,volume,issue,pages,title,authors,venue,doi,screening_status,screening_reason,publication_year_basis
2023,9,6,1399-1411,Deep Joint Source-Channel Coding for Image Transmission With Visual Protection,Jialong Xu; Bo Ai; Wei Chen; Ning Wang; Miguel Rodrigues,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3306851,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,9,6,1424-1437,Joint Source-Channel Coding for a Multivariate Gaussian Over a Gaussian MAC Using Variational Domain Adaptation,Yishen Li; Xuechen Chen; Xiaoheng Deng,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3294754,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,9,2,252-265,Neuromorphic Wireless Cognition: Event-Driven Semantic Communications for Remote Inference,Jiechen Chen; Nicolas Skatchkovsky; Osvaldo Simeone,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3236940,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,9,6,1438-1453,Non-Orthogonal Multiple Access Enhanced Multi-User Semantic Communication,Weizhi Li; Haotai Liang; Chen Dong; Xiaodong Xu; Ping Zhang; Kaijun Liu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3306852,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,9,3,604-617,Semantics-Native Communication via Contextual Reasoning,Hyowoon Seo; Jihong Park; Mehdi Bennis; Mérouane Debbah,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3250206,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,2026 Early Access / volume pending
2024,10,3,769-782,Adaptable Semantic Compression and Resource Allocation for Task-Oriented Communications,Chuanhong Liu; Caili Guo; Yang Yang; Nan Jiang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3346481,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,6,2357-2369,Adaptive Compression Offloading and Resource Allocation for Edge Vision Computing,Wenjing Xiao; Yixue Hao; Junbin Liang; Long Hu; Salman A. AlQahtani; Min Chen,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3400820,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,10,1,150-163,Adaptive Modulation and Retransmission Scheme for Semantic Communication Systems,Huiguo Gao; Guanding Yu; Yunlong Cai,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3315386,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,2,387-402,DeepMA: End-to-End Deep Multiple Access for Wireless Image Transmission in Semantic Communication,Wenyu Zhang; Kaiyuan Bai; Sherali Zeadally; Haijun Zhang; Hua Shao; Hui Ma; Victor C. M. Leung,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3326302,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,4,1175-1189,Feature Importance-Aware Task-Oriented Semantic Transmission and Optimization,Yining Wang; Shujun Han; Xiaodong Xu; Haotai Liang; Rui Meng; Chen Dong; Ping Zhang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3375496,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,5,1744-1758,How to Evaluate Semantic Communications for Images With ViTScore Metric?,Tingting Zhu; Bo Peng; Jifan Liang; Tingchen Han; Hai Wan; Jingqiao Fu; Junjie Chen,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3392803,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,6,2005-2018,LaMoSC: Large Language Model-Driven Semantic Communication System for Visual Transmission,Yaru Zhao; Yi Yue; Shoulu Hou; Bo Cheng; Yakun Huang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3401712,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,4,1160-1174,SC-PNC: Semantic Communication-Empowered Physical-Layer Network Coding,Haoyuan Pan; Shuai Yang; Tse-Tin Chan; Zhaorui Wang; Victor C. M. Leung; Jianqiang Li,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3375506,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,5,1759-1773,SCAN: Semantic Communication With Adaptive Channel Feedback,Guangyi Zhang; Qiyu Hu; Yunlong Cai; Guanding Yu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3394867,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,10,3,756-768,Speech Semantic Communication Based on Swin Transformer,Ziliang Zhou; Shilian Zheng; Jie Chen; Zhijin Zhao; Xiaoniu Yang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2023.3345858,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,5,2955-2969,A Physical Layer Security Framework for IRS-Assisted Integrated Sensing and Semantic Communication Systems,Hamid Amiriara; Mahtab Mirmohseni; Ahmed Elzanaty; Yi Ma; Rahim Tafazolli,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3589577,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,6,3618-3627,A Theory for Semantic Channel Coding With Many-to-One Source,Shuai Ma; Chuanhui Zhang; Huayan Qi; Hang Li; Yue Bi; Guangming Shi; Naofal Al-Dhahir,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3544275,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,2,1024-1040,Adversarial Attacks Against Shared Knowledge Interpretation in Semantic Communications,Van-Tam Hoang; Van-Linh Nguyen; Rong-Guey Chang; Po-Ching Lin; Ren-Hung Hwang; Trung Q. Duong,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3528891,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,6,3669-3683,Conceptual Learning and Causal Reasoning for Semantic Communication,Dylan Wheeler; Balasubramaniam Natarajan,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3543834,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,1,105-117,Content Adaptive Distributed Joint Source-Channel Coding for Image Transmission With Hyperprior,Yishen Li; Xuechen Chen; Xiaoheng Deng; Jinsong Gui,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3438371,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,6,3655-3668,Deep Reinforced Feature Compression and Channel Equalization for Semantic Communications,Joonho Seon; Seongwoo Lee; Soo Hyun Kim; Young Ghyu Sun; Hyowoon Seo; Dong In Kim; Jin Young Kim,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3549782,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,5,3361-3370,Digital Semantic Communication System With a Learnable Channel Estimator for OFDM Transmission,Yunqi Feng; Zhendong Shan; Hesheng Shen; Xiufang Shi; Qianqian Yang; Jiming Chen,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3533008,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,4,2499-2511,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,Lei Guo; Wei Chen; Yuxuan Sun; Bo Ai,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3510586,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,6,3684-3697,EESC-S: An Emotion-Enhanced Semantic Communication Framework for Speech Transmission,Kaiwen Tan; Haitao Zhao; Yichi Zhang; Kuo Cao; Peng Luo; Yuyuan Zhang; Jibo Wei,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3543387,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,5,3062-3078,"Fluid Antenna-Enabled Near-Field Integrated Sensing, Computing, and Semantic Communication for Emerging Applications",Yinchao Yang; Jingxuan Zhou; Zhaohui Yang; Mohammad R. Shikh-Bahaei,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3592294,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,2,700-711,GAI-Enhanced Robust Semantic Communication With Asymmetric Architecture,Pengfei Ren; Jingjing Wang; Xiangwang Hou; Jianrui Chen; Chunxiao Jiang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3520132,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,2,791-804,Generative AI Empowered Semantic Feature Multiple Access (SFMA) Over Wireless Networks,Jiaxiang Wang; Yinchao Yang; Zhaohui Yang; Chongwen Huang; Mingzhe Chen; Zhaoyang Zhang; Mohammad Shikh-Bahaei,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3529692,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,4,2056-2077,Generative AI Meets Wireless Networking: An Interactive Paradigm for Intent-Driven Communications,Xiaoqi Qin; Mengying Sun; Jincheng Dai; P. Ma; Yuecheng Cao; Jingjing Zhang; Jiacheng Wang; Xiaodong Xu; Ping Zhang; Dusit Niyato,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3567613,related,adjacent visual coding/transmission lineage retained for boundary comparison,2026 Early Access / volume pending
2025,11,3,1708-1722,Generative AI-Driven Incentive Mechanism for Semantic Communications in RSMA Networks,Dongqing Liu; Yongwen Liu; Lei Zhang; Abdelhakim Hafid; Lyes Khoukhi; Mingyuan Li; Yutao Liu; Yadong Dong,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3556751,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,1,27-47,"Generative AI-Driven Semantic Communication Networks: Architecture, Technologies, and Applications",Chengsi Liang; Hongyang Du; Yao Sun; Dusit Niyato; Jiawen Kang; Dezong Zhao; Muhammad Ali Imran,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3435524,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2025,11,6,3698-3710,Heterogeneous Gateway Planning for Semantic Communication in Industrial Networks,Yuyi Sun; Fangyuan Xing; Zhenwei Guo; Huimin Chen; Shibo He,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3544282,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,1,75-89,Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,Joohyuk Park; Yongjeong Oh; Seonjung Kim; Yo-Seb Jeon,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3422496,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,5,3371-3383,Model-Enabled Task-Oriented Semantic Communications Through Knowledge Synchronization,Zhiyi Tian; Weiqi Wang; Chenhan Zhang; Shui Yu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3531461,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,5,3346-3360,Optimizing Resource Allocation for Multi-Modal Semantic Communication in Mobile AIGC Networks: A Diffusion-Based Game Approach,Jian Liu; Ming Xiao; Jinbo Wen; Jiawen Kang; Ruichen Zhang; Tao Zhang; Dusit Niyato; Weiting Zhang; Ying Liu,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3529747,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,6,3640-3654,Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,Guangyi Zhang; Hanlei Li; Yunlong Cai; Qiyu Hu; Guanding Yu; Zhijin Qin,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2025.3546935,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,11,2,1197-1209,R-UAV-Net: Enhanced YOLOv4 With Graph-Semantic Compression for Transformative UAV Sensing in Paddy Agronomy,Arun Kumar Sangaiah; Jayakrishnan Anandakrishnan; Aniruth Reddy Devarapelly; Muhammad Luqman Arif Bin Mohamad; Gui-Bin Bian; Mohammed J. F. Alenazi; Salman A. AlQahtani,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3452053,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2025,11,2,672-686,Rate-Distortion-Perception Controllable Joint Source-Channel Coding for High-Fidelity Generative Semantic Communications,Kailin Tan; Jincheng Dai; Zhenyu Liu; Sixian Wang; Xiaoqi Qin; Wenjun Xu; Kai Niu; Ping Zhang,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2024.3511960,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
