year,title,authors,venue,doi,volume,issue,pages,sources,matched_queries,screening_status,screening_reason
2022,A Secret JPEG Image Sharing Method Over <i>GF</i>(2<i> <sup>M</sup> </i>) Galois Fields,Pauline Puteaux; Félix Yriarte; William Puech,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3225644,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,AM³Net: Adaptive Mutual-Learning-Based Multimodal Data Fusion Network,Jinping Wang; Jun Li; Yanli Shi; Jianhuang Lai; Xiaojun Tan,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3148257,,,,OpenAlex,channel adaptive image transmission,candidate,pending manual title/abstract/full-text screening
2022,Ambiguousness-Aware State Evolution for Action Prediction,Lei Chen; Jiwen Lu; Zhanjie Song; Jie Zhou,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3156058,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Attention in Attention: Modeling Context Correlation for Efficient Video Classification,Yanbin Hao; Shuo Wang; P.P. Cao; Xinjian Gao; Tong Xu; Jinmeng Wu; Xiangnan He,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3169842,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Data Protection in Palmprint Recognition via Dynamic Random Invisible Watermark Embedding,Chengcheng Liu; Dexing Zhong; Huikai Shao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3174582,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Deep Image Inpainting With Enhanced Normalization and Contextual Attention,Jialu Liu; Maoguo Gong; Zedong Tang; A. K. Qin; Hao Li; Fenlong Jiang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3175171,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Detecting Steganography in JPEG Images Recompressed With the Same Quantization Matrix,Qingxiao Guan; Kaimeng Chen; Hefeng Chen; Weiming Zhang; Nenghai Yu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3155758,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Dual Wavelet Attention Networks for Image Classification,Yuting Yang; Licheng Jiao; Xu Liu; Fang Liu; Shuyuan Yang; Lingling Li; Puhua Chen; Xiufang Li; Zhongjian Huang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3218735,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Dual-Channel Multi-Task CNN for No-Reference Screen Content Image Quality Assessment,Chaofan Zhang; Ziqing Huang; Shiguang Liu; Jian Xiao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3143321,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Dual-Space Graph-Based Interaction Network for RGB-Thermal Semantic Segmentation in Electric Power Scene,Chang Xu; Qingwu Li; Xiongbiao Jiang; Dabing Yu; Yaqin Zhou,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3216313,,,,OpenAlex,semantic image transmission,candidate,pending manual title/abstract/full-text screening
