year,volume,issue,pages,title,authors,venue,doi,screening_status,screening_reason,publication_year_basis
2023,33,4,1937-1951,Extreme Underwater Image Compression Using Physical Priors,Mengyao Li; Liquan Shen; Yufei Lin; Kun Wang; Jinbo Chen,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3218791,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2023,33,5,2439-2450,NOMA-Based Uncoded Video Transmission With Optimization of Joint Resource Allocation,Chaofan He; Shuyuan Zhu; Bing Zeng,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3223954,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,33,7,3516-3528,Neuron-Based Spiking Transmission and Reasoning Network for Robust Image-Text Retrieval,Wenrui Li; Zhengyu Ma; Liang-Jian Deng; Xiaopeng Fan; Yonghong Tian,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3233042,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,33,8,4441-4445,Rethinking Semantic Image Compression: Scalable Representation With Cross-Modality Transfer,Pingping Zhang; Shiqi Wang; Meng Wang; Jiguo Li; Xu Wang; Sam Kwong,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3241225,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2023,33,10,6086-6100,Sketch Assisted Face Image Coding for Human and Machine Vision: A Joint Training Approach,Xin Fang; Yiping Duan; Qiyuan Du; Xiaoming Tao; Fan Li,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3262251,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2023,33,8,4108-4121,Unified Architecture Adaptation for Compressed Domain Semantic Inference,Zhihao Duan; Zhan Ma; Fengqing Zhu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3240391,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,34,5,3156-3167,End-to-End Learnable Multi-Scale Feature Compression for VCM,Yeongwoong Kim; Hyewon Jeong; Janghyun Yu; Younhee Kim; Jooyoung Lee; Seyoon Jeong; Hui Yong Kim,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3302858,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,34,5,3096-3110,MPAI-EEV: Standardization Efforts of Artificial Intelligence Based End-to-End Video Coding,Chuanmin Jia; Feng Ye; Fanke Dong; Kai Lin; Leonardo Chiariglione; Siwei Ma; Huifang Sun; Wen Gao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3310188,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,34,8,7742-7755,Quality of Experience Oriented Cross-Layer Optimization for Real-Time XR Video Transmission,Guangjin Pan; Shugong Xu; Shunqing Zhang; Xiaojing Chen; Yanzan Sun,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3376999,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,34,8,6978-6992,Rate-Distortion Optimized Cross Modal Compression With Multiple Domains,Junlong Gao; Chuanmin Jia; Zhimeng Huang; Shanshe Wang; Siwei Ma; Wen Gao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3364153,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2024,34,9,8978-8982,Semantic Face Compression for Metaverse: A Compact 3D Descriptor Based Approach,Binzhe Li; Bolin Chen; Zhao Wang; Shiqi Wang; Yan Ye,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3391612,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2024,34,10,9620-9632,Toward On-Demand Transmission: Joint Feature and Image Coding With Reversible Neural Networks,Hanyue Tu; Li Li; Wengang Zhou; Houqiang Li,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3395275,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,11,11583-11597,Bilateral Bargaining-Based Adaptive Video Transmission: A Frame Rate Perspective,Han Xiao; Changqiao Xu; Hongye Jiang; Wendong Wang; Shujie Yang; Lujie Zhong; Xiaofeng Tao; Gabriel-Miro Muntean,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3578038,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2025,35,7,6466-6480,Energy-Efficient Image Semantic Communication: Architecture Design and Optimal Joint Allocation of Communication and Computation Resources,Han Hu; Kaifeng Song; Rongfei Fan; Cheng Zhan; Jie Xu; Jian Yang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3539226,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,4,3732-3744,High Efficient 3D Convolution Feature Compression,Yangang Cai; Peiyin Xing; Xuesong Gao,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2022.3200698,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2025,35,2,1951-1960,Image Semantic Steganography: A Way to Hide Information in Semantic Communication,Yanhao Huo; Shijun Xiang; Xiangyang Luo; Xinpeng Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3476689,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,6,6087-6100,Joint Resources Optimization for Soft Video Transmission Over IRS-Assisted SR Network,Lei Luo; Junjie Wu; Zhi Jin; Hongwei Guo; Ce Zhu,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3531653,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,7,7181-7195,ResiComp: Loss-Resilient Image Compression via Dual-Functional Masked Visual Token Modeling,Sixian Wang; Jincheng Dai; Xiaoqi Qin; Ke Yang; Kai Niu; Ping Zhang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3539747,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,11,11527-11539,Semantic and Saliency-Aware Scalable Image Coding Toward Human–Machine Collaboration,Tengyao Cui; Yongfang Wang; Yihan Wang; Zhijun Fang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3574747,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2025,35,8,7866-7881,VAAC-IM: Motion-Aware Viewing Area Adaptive Control in Immersive Media Transmission,Han Xiao; Changqiao Xu; Chuxing Fang; Wendong Wang; Shujie Yang; Zhenhui Yuan; Luigi Alfredo Grieco,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3549431,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
2026,36,3,3261-3274,DRSW: Dual-Stage Robust Semantic Watermarking for Image Semantic Communication,Yanhao Huo; Shijun Xiang,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3613856,core,direct semantic/task-oriented visual communication or explicit channel/delivery robustness,formal TCSVT volume year
2026,36,1,1089-1103,Generative Human Video Compression With Multi-Granularity Temporal Trajectory Factorization,Shanzhi Yin; Bolin Chen; Shiqi Wang; Yan Ye,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3596815,related,adjacent visual coding/transmission lineage retained for boundary comparison,formal TCSVT volume year
