year,title,authors,venue,doi,volume,issue,pages,sources,matched_queries,screening_status,screening_reason
2022,Confidence Evaluation for Machine Learning Schemes in Vehicular Sensor Networks,Xinhu Zheng; Sijiang Li; Yuru Li; Dongliang Duan; Liuqing Yang; Xiang Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3214499,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Designing a Common DP-LDPC Code Pair for Variable On-Body Channels,Dan Song; Jinkai Ren; Lin Wang; Guanrong Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3178207,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2022,Joint Code Rate Compatible Design of DP-LDPC Code Pairs for Joint Source Channel Coding Over Implant-to-External Channel,Dan Song; Lin Wang; Zhiping Xu; Guanrong Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3141729,,,,OpenAlex,joint source channel coding,candidate,pending manual title/abstract/full-text screening
2022,MetaSketch: Wireless Semantic Segmentation by Reconfigurable Intelligent Surfaces,Jingzhi Hu; Hongliang Zhang; Kaigui Bian; Zhu Han; H. Vincent Poor; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3144340,,,,OpenAlex,full-journal metadata scan,candidate,pending manual title/abstract/full-text screening
2022,Over-the-Air Federated Learning via Second-Order Optimization,Peng Yang; Yuning Jiang; Ting Wang; Yong Zhou; Yuanming Shi; Colin N. Jones,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3185156,,,,OpenAlex,task-oriented communication,candidate,pending manual title/abstract/full-text screening
2023,Data and Knowledge Dual-Driven Automatic Modulation Classification for 6G Wireless Communications,Rui Ding; Fuhui Zhou; Qihui Wu; Chao Dong; Zhu Han; Octavia A. Dobre,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3316197,,,,OpenAlex,semantic communication,candidate,pending manual title/abstract/full-text screening
2023,Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis,Zhenzi Weng; Zhijin Qin; Xiaoming Tao; Chengkang Pan; Guangyi Liu; Geoffrey Ye Li,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3240969,22,9,6227-6240,Crossref; OpenAlex,Semantic; token communication,candidate,pending manual title/abstract/full-text screening
2023,Edge Learning for Large-Scale Internet of Things With Task-Oriented Efficient Communication,Haihui Xie; Minghua Xia; Peiran Wu; Shuai Wang; H. Vincent Poor,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3271665,22,12,9517-9532,Crossref; OpenAlex,Task-Oriented; task-oriented communication,candidate,pending manual title/abstract/full-text screening
2023,Excess Distortion Exponent Analysis for Semantic-Aware MIMO Communication Systems,Yuxuan Shi; Shuo Shao; Yongpeng Wu; Wenjun Zhang; Xiang-Gen Xia; Chengshan Xiao,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3238463,22,9,5927-5940,Crossref; OpenAlex,Semantic; joint source channel coding,candidate,pending manual title/abstract/full-text screening
2023,Integrated Sensing-Communication-Computation for Over-the-Air Edge AI Inference,Zeming Zhuang; Dingzhu Wen; Yuanming Shi; Guangxu Zhu; Sheng Wu; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3306465,,,,OpenAlex,task-oriented communication,candidate,pending manual title/abstract/full-text screening
2023,Over-the-Air Multi-View Pooling for Distributed Sensing,Zhiyan Liu; Qiao Lan; Anders E. Kalør; Petar Popovski; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3343086,,,,OpenAlex,feature transmission,candidate,pending manual title/abstract/full-text screening
2023,PARAMOUNT: Toward Generalizable Deep Learning for mmWave Beam Selection Using Sub-6 GHz Channel Measurements,Katarina Vuckovic; Mahdi Boloursaz Mashhadi; Farzam Hejazi; Nazanin Rahnavard; Ahmed Alkhateeb,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3324916,,,,OpenAlex,semantic communication,candidate,pending manual title/abstract/full-text screening
2023,Predictive and Adaptive Deep Coding for Wireless Image Transmission in Semantic Communication,Wenyu Zhang; Haijun Zhang; Hui Ma; Hua Shao; Ning Wang; Victor C. M. Leung,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3234408,22,8,5486-5501,Crossref; OpenAlex,Semantic; Wireless Image Transmission; wireless image transmission,candidate,pending manual title/abstract/full-text screening
