year,title,authors,venue,doi,screening_status,screening_reason
2022,Confidence Evaluation for Machine Learning Schemes in Vehicular Sensor Networks,Xinhu Zheng; Sijiang Li; Yuru Li; Dongliang Duan; Liuqing Yang; Xiang Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3214499,excluded,outside TWC volume-year range 2023-2026
2022,Designing a Common DP-LDPC Code Pair for Variable On-Body Channels,Dan Song; Jinkai Ren; Lin Wang; Guanrong Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3178207,excluded,outside TWC volume-year range 2023-2026
2022,Joint Code Rate Compatible Design of DP-LDPC Code Pairs for Joint Source Channel Coding Over Implant-to-External Channel,Dan Song; Lin Wang; Zhiping Xu; Guanrong Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3141729,excluded,outside TWC volume-year range 2023-2026
2022,MetaSketch: Wireless Semantic Segmentation by Reconfigurable Intelligent Surfaces,Jingzhi Hu; Hongliang Zhang; Kaigui Bian; Zhu Han; H. Vincent Poor; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3144340,excluded,outside TWC volume-year range 2023-2026
2022,Over-the-Air Federated Learning via Second-Order Optimization,Peng Yang; Yuning Jiang; Ting Wang; Yong Zhou; Yuanming Shi; Colin N. Jones,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3185156,excluded,outside TWC volume-year range 2023-2026
2023,Data and Knowledge Dual-Driven Automatic Modulation Classification for 6G Wireless Communications,Rui Ding; Fuhui Zhou; Qihui Wu; Chao Dong; Zhu Han; Octavia A. Dobre,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3316197,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2023,PARAMOUNT: Toward Generalizable Deep Learning for mmWave Beam Selection Using Sub-6 GHz Channel Measurements,Katarina Vuckovic; Mahdi Boloursaz Mashhadi; Farzam Hejazi; Nazanin Rahnavard; Ahmed Alkhateeb,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3324916,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2023,Signal Recovery Performance Analysis in Wireless Sensing With Rectangular-Type Analog Joint Source-Channel Coding,Xueyuan Zhao; Vidyasagar Sadhu; Dario Pompili,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3142722,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2023,UAV-Aided Radio Map Construction Exploiting Environment Semantics,Wenjie Liu; Junting Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3241845,excluded,"environment semantics for radio-map construction, not semantic communication"
2024,Beamforming Design for Massive MIMO-Aided Over-the-Air Computation: A Mutual Information Perspective,Xu Shi; Jun Du; Jintao Wang; Kaibin Huang; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3412690,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,Dynamic UAV-Assisted Cooperative Edge AI Inference,Jingfeng Huang; Lixiang Lian; Dingzhu Wen; Yong Zhou; Fuzhai Wang; Weichang Wang; Yuanming Shi,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3497593,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,Efficient Multiuser AI Downloading via Reusable Knowledge Broadcasting,Wu Hai; Qunsong Zeng; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3373015,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,Joint AI Inference and Target Tracking at Network Edge: A Hybrid Offline-Online Design for UAV-Enabled Network,Yang Fu; Peng Qin; Jing Zhang; Lu Zhou,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3458190,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,MCLHN: Toward Automatic Modulation Classification via Masked Contrastive Learning With Hard Negatives,Chenghong Xiao; Shuyuan Yang; Zhixi Feng; Licheng Jiao,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3412234,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,On-Demand Environment Perception and Resource Allocation for Task Offloading in Vehicular Networks,Changle Li; Mengqiu Tian; Yilong Hui; Nan Cheng; Ruijin Sun; Wenwei Yue; Zhu Han,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3435871,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,VC-SEI: Robust Variable-Channel Specific Emitter Identification Method Using Semi-Supervised Domain Adaptation,Hong Wan; Qin Wang; Xue Fu; Yu Wang; Haitao Zhao; Yun Lin; Hikmet Sari; Guan Gui,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3463740,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2024,VSLM: Virtual Signal Large Model for Few-Shot Wideband Signal Detection and Recognition,Xiaoyang Hao; Shuyuan Yang; Ruoyu Liu; Zhixi Feng; Tongqing Peng; Bincheng Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3496813,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2025,Downlink CSIT Under Compressed Feedback: Joint Versus Separate Source-Channel Coding,Yi Song; Tianyu Yang; Mahdi Barzegar Khalilsarai; Giuseppe Caire,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3566501,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2025,Higher-Order Cumulant-Assisted Constant Wideband Compressive Spectrum Sensing Using Semantic Correlation Mining,Jianfeng Liu; Xin-Lin Huang; Fei Hu; Shui Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3495978,excluded,"semantic correlation mining for spectrum sensing, not semantic communication"
2025,Interference-Cancellation-Based Channel Knowledge Map Construction and Its Applications to Channel Estimation,Wenjun Jiang; Xiaojun Yuan; Boyu Teng; Hao Wang; Jing Qian,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3552519,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2025,Lightweight and Self-Evolving Channel Twinning: An Ensemble DMD-Assisted Approach,Yashuai Cao; Jintao Wang; Xu Shi; Wei Ni,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3564276,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2025,MIMO Over-the-Air Computation for Device-Edge Collaborative Inference,Hanzhe Yang; Dingzhu Wen; Li You; Jingjing Wang; Sheng Wu; Yuanming Shi,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3603537,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2025,Turbocharging Fluid Antenna Multiple Access,Noor Waqar; Kai‐Kit Wong; Chan‐Byoung Chae; Ross Murch,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3607824,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2026,Channel Semantic Characterization for Integrated Sensing and Communication Scenarios: From Measurements to Modeling,Zhengyu Zhang; Ruisi He; Bo Ai; Mi Yang; Xuejian Zhang; Ziyi Qi; Zhangdui Zhong,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3667552,excluded,"channel-environment semantic characterization for ISAC, not semantic communication"
2026,Deep Learning-Based Dynamic Environment Reconstruction for Vehicular ISAC Scenarios,Junzhe Song; Ruisi He; Mi Yang; Zhengyu Zhang; Bingcheng Liu; Jiahui Han; Haoxiang Zhang; Bo Ai,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3676063,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2026,Large Wireless Localization Model (LWLM): A Foundation Model for Positioning in 6G Networks,Guangjin Pan; Kaixuan Huang; Hui Chen; Shunqing Zhang; Christian Häger; Henk Wymeersch,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3718678,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2026,Physics-Informed Reinforcement Learning for Utility-Aware Pilot Selection in LEO Channel Estimation,Da Wan; Zhongliang Deng; Wenliang Lin; Sheng Han Wu; Chunxiao Jiang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679026,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2026,UoI-Minimization RSMA Scheme for Multi-Type Services Multicast in Satellite-Integrated Internet,Xiajie Huang; Jian Jiao; Tao Yang; Jianhao Huang; Ye Wang; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3680094,excluded,broad-search hit without a substantive semantic/task-oriented communication focus
2026,Visual Environment Semantic Sensing-Assisted OTFS Channel Estimation,Weihao Wang; Jing Guo; Jingxuan Huang; Zesong Fei; Weijie Yuan; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3684223,excluded,"visual semantic sensing used for OTFS channel estimation, not semantic communication"
