year,title,authors,venue,doi,screening_status,screening_reason
2023,Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis,Zhenzi Weng; Zhijin Qin; Xiaoming Tao; Chengkang Pan; Guangyi Liu; Geoffrey Ye Li,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3240969,core,explicit semantic-communication terminology in title or abstract
2023,Edge Learning for Large-Scale Internet of Things With Task-Oriented Efficient Communication,Haihui Xie; Minghua Xia; Peiran Wu; Shuai Wang; H. Vincent Poor,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3271665,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2023,Excess Distortion Exponent Analysis for Semantic-Aware MIMO Communication Systems,Yuxuan Shi; Shuo Shao; Yongpeng Wu; Wenjun Zhang; Xiang-Gen Xia; Chengshan Xiao,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3238463,core,explicit semantic-communication terminology in title or abstract
2023,Integrated Sensing-Communication-Computation for Over-the-Air Edge AI Inference,Zeming Zhuang; Dingzhu Wen; Yuanming Shi; Guangxu Zhu; Sheng Wu; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3306465,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2023,Over-the-Air Multi-View Pooling for Distributed Sensing,Zhiyan Liu; Qiao Lan; Anders E. Kalør; Petar Popovski; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3343086,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2023,Predictive and Adaptive Deep Coding for Wireless Image Transmission in Semantic Communication,Wenyu Zhang; Haijun Zhang; Hui Ma; Hua Shao; Ning Wang; Victor C. M. Leung,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3234408,core,explicit semantic-communication terminology in title or abstract
2023,Progressive Feature Transmission for Split Classification at the Wireless Edge,Qiao Lan; Qunsong Zeng; Petar Popovski; Deniz Gündüz; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3221778,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2023,Robust Semantic Communications With Masked VQ-VAE Enabled Codebook,Qiyu Hu; Guangyi Zhang; Zhijin Qin; Yunlong Cai; Guanding Yu; Geoffrey Ye Li,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3265201,core,explicit semantic-communication terminology in title or abstract
2023,Semantic-Aware Sensing Information Transmission for Metaverse: A Contest Theoretic Approach,Jiacheng Wang; Hongyang Du; Zengshan Tian; Dusit Niyato; Jiawen Kang; Xuemin Shen,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3232565,core,explicit semantic-communication terminology in title or abstract
2023,Task-Oriented Communication for Multidevice Cooperative Edge Inference,Jiawei Shao; Yuyi Mao; Jun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3191118,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2023,Task-Oriented Explainable Semantic Communications,Shuai Ma; Weining Qiao; Youlong Wu; Hang Li; Guangming Shi; Dahua Gao; Yuanming Shi; Shiyin Li; Naofal Al-Dhahir,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3269444,core,explicit semantic-communication terminology in title or abstract
2023,The Age of Incorrect Information: An Enabler of Semantics-Empowered Communication,Ali Maatouk; Mohamad Assaad; Anthony Ephremides,IEEE Transactions on Wireless Communications,10.1109/twc.2022.3213227,core,explicit semantic-communication terminology in title or abstract
2024,A GAN-Based Semantic Communication for Text Without CSI,Jin Mao; Ke Xiong; Ming Liu; Zhijin Qin; Wei Chen; Pingyi Fan; Khaled Ben Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3415363,core,explicit semantic-communication terminology in title or abstract
2024,A Robust Semantic Text Communication System,Xiang Peng; Zhijin Qin; Xiaoming Tao; Jianhua Lu; Lajos Hanzo,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3381950,core,explicit semantic-communication terminology in title or abstract
2024,Age of Incorrect Information Minimization for Semantic-Empowered NOMA System in S-IoT,Hui Hong; Jian Jiao; Tao Yang; Ye Wang; Rongxing Lu; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3334761,core,explicit semantic-communication terminology in title or abstract
