"Team","Title","Doi"
"kai-niu-semantic-communications","ComAI: The Convergence of Communication and Artificial Intelligence","10.1109/comst.2025.3608174"
"kai-niu-semantic-communications","AdaJSCC: Instance-Adaptive Joint Source-Channel Coding for Wireless Image Transmission","10.1109/gcwkshp64532.2024.11100771"
"kai-niu-semantic-communications","Neural Joint Source-Channel Decoding using Arithmetic Codes","10.1109/gcwkshps52748.2021.9682040"
"meixia-tao-semantic-communications","A Wyner-Ziv Coding-Based Semantic Communication Approach with a Shared Semantic Codebook","10.1109/gcwkshps58843.2023.10464918"
"kai-niu-semantic-communications","A Novel Deep Learning Architecture for Wireless Image Transmission","10.1109/globecom46510.2021.9685036"
"kai-niu-semantic-communications","SemAudio: Semantic-Aware Streaming Communications for Real-Time Audio Transmission","10.1109/globecom48099.2022.10001043"
"kai-niu-semantic-communications","Resolution-Adaptive Source-Channel Coding for End-to-End Wireless Image Transmission","10.1109/globecom48099.2022.10001465"
"meixia-tao-semantic-communications","A Superposition Code Approach for Digital Semantic Communications Over Broadcast Channels","10.1109/globecom54140.2023.10437022"
"meixia-tao-semantic-communications","Prompt-based Multimodal Semantic Communication for Multi-spectral Image Segmentation","10.1109/iccc65529.2025.11148605"
"kai-niu-semantic-communications","Wireless Synonymous Image Transmission with Joint Spatial-Power Domain Adaptation","10.1109/iccc65529.2025.11148621"
"meixia-tao-semantic-communications","MIMO Semantic Communication via Score-Based Reverse Mean Propagation","10.1109/iccc65529.2025.11149014"
"kai-niu-semantic-communications","Rate-Compatible Joint Source-Channel Coding Scheme Based on 5GNR LDPC Codes","10.1109/ictc57116.2023.10154810"
"kai-niu-semantic-communications","Joint Source-Channel Polar-Coded Modulation","10.1109/isit50566.2022.9834492"
"kai-niu-semantic-communications","Distributed Joint Source-Channel Polar Coding","10.1109/isit50566.2022.9834726"
"kai-niu-semantic-communications","Source Value-Based Resource Allocation in Task-Oriented Communications","10.1109/jiot.2024.3430905"
"kai-niu-semantic-communications","MDVSC—Efficient Wireless Model Division Video Semantic Communication","10.1109/jiot.2024.3464614"
"kai-niu-semantic-communications","Semantic-Importance-Aware Reordering-Enhanced Semantic Communication System With OFDM Transmission","10.1109/jiot.2025.3529492"
"kai-niu-semantic-communications","Multiuser Content-Style Adaptive Semantic Communication for Image Transmission","10.1109/jiot.2025.3581393"
"kai-niu-semantic-communications","Cross-Layer Encrypted Semantic Communication Framework for Panoramic Video Transmission","10.1109/jiot.2025.3592181"
"kai-niu-semantic-communications","In-Band Full-Duplex System for Semantic Communication","10.1109/jiot.2025.3598151"
"arumugam-nallanathan-deepsc-semantic-communications","Multitask Semantic Communication: A Mutual Information-Aided Semi-Supervised Approach","10.1109/jiot.2025.3607792"
"kai-niu-semantic-communications","Taming Learnable Codebook Design and Modulation for Digital Semantic Image Communication","10.1109/jiot.2025.3619193"
"kai-niu-semantic-communications","Deep Joint Source-Channel Coding-based Multi-rate CSI Feedback for Time-varying Massive MIMO Channels","10.1109/jiot.2026.3709765"
"meixia-tao-semantic-communications","Federated Edge Learning for 6G: Foundations, Methodologies, and Applications","10.1109/jproc.2024.3509739"
"kai-niu-semantic-communications","Semantic Communication System Based on Semantic Slice Models Propagation","10.1109/jsac.2022.3221948"
"kai-niu-semantic-communications","ISCom: Interest-Aware Semantic Communication Scheme for Point Cloud Video Streaming on Metaverse XR Devices","10.1109/jsac.2023.3345430"
"meixia-tao-semantic-communications","Fairness-Aware Joint Source-Channel Coding for Robust Task-Oriented Communication","10.1109/jsac.2025.3638730"
"kai-niu-semantic-communications","Federated Semantic Learning Driven by Information Bottleneck for Task-Oriented Communications","10.1109/lcomm.2023.3307096"
"kai-niu-semantic-communications","Enhanced Joint Source-Channel Polarization Effect Based on Polarizing Matrix Extension","10.1109/lcomm.2024.3385096"
"kai-niu-semantic-communications","Semantic Communications for Multi-View Generation","10.1109/lcomm.2024.3391909"
"kai-niu-semantic-communications","Synchronization Mechanism: Preliminary Attempt to Enable Wireless Semantic Communication With Heterogeneous Knowledge Bases","10.1109/lcomm.2024.3412811"
"kai-niu-semantic-communications","Domain Knowledge Driven Semantic Communication for Image Transmission Over Wireless Channels","10.1109/lwc.2022.3216994"
"kai-niu-semantic-communications","Efficient Semantic-Aware Encryption for Semantic Communication in Intelligent Connected Vehicles","10.1109/lwc.2025.3595855"
"kai-niu-semantic-communications","Trustworthy Intelligent Networks for Low-Altitude Economy","10.1109/mcom.001.2400692"
"yi-ma-mahdi-mashhadi-semantic-communications","Adaptive Semantic Communication for Gaze-guided Stereo Media Transmission","10.1109/metacom65502.2025.00050"
"kai-niu-semantic-communications","UDSem: A Unified Distributed Learning Framework for Semantic Communications Over Wireless Networks","10.1109/mnet.131.2200409"
"kai-niu-semantic-communications","Semantic Communication Empowered NTN for IoT: Benefits and Challenges","10.1109/mnet.2024.3383604"
"kai-niu-semantic-communications","Learned Image Transmission over MIMO Fading Channels","10.1109/pimrc56721.2023.10293784"
"kai-niu-semantic-communications","Learned Image Transmission Toward Machine-Type Semantic Communications","10.1109/pimrc56721.2023.10294032"
"deniz-gunduz-semantic-communications","Deep-Learning-Aided Wireless Video Transmission","10.1109/spawc51304.2022.9833990"
"deniz-gunduz-semantic-communications","Progressive Transmission of High-Dimensional Data Features for Inference at the Network Edge","10.1109/spawc51304.2022.9834000"
"meixia-tao-semantic-communications","Image Semantic Communication over Fading Channel: A Learned Broadcast Approach","10.1109/spawc53906.2023.10304507"
"kai-niu-semantic-communications","Learning Joint Source-Channel Coding for Wireless Image Transmission: A Benchmark","10.1109/spawc66079.2025.11143290"
"kai-niu-semantic-communications","PCST: Geometry-based Point Cloud Semantic Transmission for Low-Latency XR Communications","10.1109/spawc66079.2025.11143324"
"kai-niu-semantic-communications","Semantic Coding for Text Transmission: An Iterative Design","10.1109/tccn.2022.3192407"
"kai-niu-semantic-communications","Feature Importance-Aware Task-Oriented Semantic Transmission and Optimization","10.1109/tccn.2024.3375496"
"kai-niu-semantic-communications","Adaptive Cross-Modal Super-Resolution Semantic Communication for Mobile AI-Generated Panoramic Video","10.1109/tccn.2025.3561304"
"kai-niu-semantic-communications","Generative AI Meets Wireless Networking: An Interactive Paradigm for Intent-Driven Communications","10.1109/tccn.2025.3567613"
"kai-niu-semantic-communications","LLM-Empowered Semantic Communication for Multi-Task 3D Scene Understanding in Low-Altitude Economy Networks","10.1109/tccn.2025.3642880"
"yi-ma-mahdi-mashhadi-semantic-communications","Channel-Adaptive Semantic Communication for Stereoscopic Media: Design and Prototype Implementation","10.1109/tccn.2026.3689868"
"arumugam-nallanathan-deepsc-semantic-communications","DRL-Driven Dynamic Resource Allocation for Task-Oriented Semantic Communication","10.1109/tcomm.2023.3274145"
"kai-niu-semantic-communications","Importance of Semantic Information Based on Semantic Value","10.1109/tcomm.2024.3385915"
"arumugam-nallanathan-deepsc-semantic-communications","Contrastive Learning-Based Semantic Communications","10.1109/tcomm.2024.3400912"
"meixia-tao-semantic-communications","Improving Learning-Based Semantic Coding Efficiency for Image Transmission via Shared Semantic-Aware Codebook","10.1109/tcomm.2024.3450877"
"kai-niu-semantic-communications","SeSy: Enhancing Communication System Reliability Through Image-Based Semantic Synchronization","10.1109/tcomm.2025.3624170"
"arumugam-nallanathan-deepsc-semantic-communications","Composable Multimodal Semantic Communication: A Lightweight Large AI Model Approach","10.1109/tcomm.2026.3707756"
"kai-niu-semantic-communications","Task-Oriented Cloud-Edge-Device Collaborative Semantic Communication: Trade-off Between Privacy-Preserving and QoAIS","10.1109/tifs.2025.3622076"
"kai-niu-semantic-communications","HSCKBase: A Robust Hierarchical Federated Learning Framework for Semantic Communication Knowledge Base in Regionalized Service Scenarios","10.1109/tmc.2026.3684573"
"kai-niu-semantic-communications","Resilient Image Semantic Communication Based on Rate-Optimized Information Bottleneck Theory","10.1109/tnse.2025.3626331"
"kai-niu-semantic-communications","IoT-Oriented Uplink Multi-User Digital Semantic Communication System Based on Model Division Multiple Access","10.1109/tnse.2026.3685138"
"kai-niu-semantic-communications","CSBA: Covert Semantic Backdoor Attack Against Intelligent Connected Vehicles","10.1109/tvt.2024.3427713"
"kai-niu-semantic-communications","Learning-Based Task-Centric Multi-User Semantic Communication Solution for Vehicle Networks","10.1109/tvt.2025.3541019"
"arumugam-nallanathan-deepsc-semantic-communications","Lightweight Digital Semantic Communication Based on DeepReceiver","10.1109/tvt.2025.3594122"
"kai-niu-semantic-communications","SemAudio: Semantic Communication for Audio Streaming Transmission","10.1109/tvt.2025.3598973"
"kai-niu-semantic-communications","Learning to Decode Double Polar Codes for Joint Source-Channel Coding","10.1109/tvt.2025.3619411"
"deniz-gunduz-semantic-communications","Progressive Feature Transmission for Split Classification at the Wireless Edge","10.1109/twc.2022.3221778"
"kai-niu-semantic-communications","Orthogonal Model Division Multiple Access","10.1109/twc.2024.3384421"
"kai-niu-semantic-communications","Semantic Base Enabled Image Transmission With Fine-Grained HARQ","10.1109/twc.2025.3532501"
"kai-niu-semantic-communications","Semantic Prior Aided Channel-Adaptive Equalizing and De-Noising Semantic Communication System With Latent Diffusion Model","10.1109/twc.2025.3543167"
"kai-niu-semantic-communications","Semantics-Empowered Non-Orthogonal Multiple Access for Downlink Transmission of Correlated Information Sources","10.1109/twc.2025.3563243"
"meixia-tao-semantic-communications","Semantic Communication Over MIMO Channels via Score-Based Reverse Mean Propagation","10.1109/twc.2026.3703886"
"kai-niu-semantic-communications","DGSemCom: Digital Generative Semantic Communications via Discrete Denoising Diffusion Model for Latent Error Correction","10.1109/twc.2026.3709956"
"kai-niu-semantic-communications","Learned Source and Channel Coding for Talking-Head Semantic Transmission","10.1109/wcnc55385.2023.10118851"
"kai-niu-semantic-communications","Towards Task-Scalable Semantic Communications: A Preprocessing Enhanced Image Transmission Framework","10.1109/wcsp62071.2024.10827630"
