citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
communication-beyond-transmitting-bits-semantics-guided-source-and-channel-coding-2021,2021,Communication Beyond Transmitting Bits: Semantics-Guided Source and Channel Coding,Jincheng Dai; Ping Zhang; Kai Niu; Sixian Wang; Zhongwei Si; Xiaoqi Qin,arXiv (Cornell University),preprint,10.48550/arxiv.2112.03093,https://openalex.org/W4309088567,"Classical communication paradigms focus on accurately transmitting bits over a noisy channel, and Shannon theory provides a fundamental theoretical limit on the rate of reliable communications. In this approach, bits are treated equally, and the communication system is oblivious to what meaning these bits convey or how they would be used. Future communications towards intelligence and conciseness will predictably play a dominant role, and the proliferation of connected intelligent agents requires a radical rethinking of coded transmission paradigm to support the new communication morphology on the horizon. The recent concept of ""semantic communications"" offers a promising research direction. Injecting semantic guidance into the coded transmission design to achieve semantics-aware communications shows great potential for further breakthrough in effectiveness and reliability. This article sheds light on semantics-guided source and channel coding as a transmission paradigm of semantic communications, which exploits both data semantics diversity and wireless channel diversity together to boost the whole system performance. We present the general system architecture and key techniques, and indicate some open issues on this topic.",https://doi.org/10.48550/arxiv.2112.03093,direct,"指定团队负责人直接署名：Kai Niu, Ping Zhang",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
nonlinear-transform-source-channel-coding-for-semantic-communications-2021,2021,Nonlinear Transform Source-Channel Coding for Semantic Communications,Jincheng Dai; Sixian Wang; Kailin Tan; Zhongwei Si; Xiaoqi Qin; Kai Niu; Ping Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2112.10961,https://openalex.org/W4308161218,"In this paper, we propose a class of high-efficiency deep joint source-channel coding methods that can closely adapt to the source distribution under the nonlinear transform, it can be collected under the name nonlinear transform source-channel coding (NTSCC). In the considered model, the transmitter first learns a nonlinear analysis transform to map the source data into latent space, then transmits the latent representation to the receiver via deep joint source-channel coding. Our model incorporates the nonlinear transform as a strong prior to effectively extract the source semantic features and provide side information for source-channel coding. Unlike existing conventional deep joint source-channel coding methods, the proposed NTSCC essentially learns both the source latent representation and an entropy model as the prior on the latent representation. Accordingly, novel adaptive rate transmission and hyperprior-aided codec refinement mechanisms are developed to upgrade deep joint source-channel coding. The whole system design is formulated as an optimization problem whose goal is to minimize the end-to-end transmission rate-distortion performance under established perceptual quality metrics. Across test image sources with various resolutions, we find that the proposed NTSCC transmission method generally outperforms both the analog transmission using the standard deep joint source-channel coding and the classical separation-based digital transmission. Notably, the proposed NTSCC method can potentially support future semantic communications due to its content-aware ability and perceptual optimization goal.",https://doi.org/10.48550/arxiv.2112.10961,direct,"指定团队负责人直接署名：Kai Niu, Ping Zhang",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-paradigm-shift-toward-semantic-communications-2022,2022,A Paradigm Shift toward Semantic Communications,Kai Niu; Jincheng Dai; Shengshi Yao; Sixian Wang; Zhongwei Si; Xiaoqi Qin; Ping Zhang,IEEE Communications Magazine,article,10.1109/mcom.001.2200099,https://openalex.org/W4292972664,"The last 70 years have witnessed the transition of communication from Shannon's theoretical concept to current high-efficiency practical systems. Classical communication systems address the capability-deficiency issue mainly by module stacking and technique densification with ever increasing complexity. From such a traditional viewpoint, classical source coding only utilizes explicit probabilistic models to compress data, regardless of the meaning of transmitted source messages. Also, channel coded transmission does not identify the source content. In this sense, state-of-the-art communication systems work merely at the technical level, as summarized by Weaver. Unlike the traditional system design philosophy, this article proposes a new route to boost the system capabilities toward intelligence-endogenous and primitive-concise communications. The communication paradigm upgrades to the semantic level, which is radically different since all the key techniques imply the use of meanings of transmitted data, thus deeply changing the design philosophy of the communication system. This paradigm shift unveils a promising direction due to its ability to offer an identical quality of service with much lower data transmission requirements. Different from similar works, this article constitutes a brief tutorial on the framework of semantic communications, its gain analyzed from the information theory perspective, a method to calculate the semantic compression bound, and an exemplary use case of semantic communications.",https://doi.org/10.1109/mcom.001.2200099,direct,"指定团队负责人直接署名：Kai Niu, Ping Zhang",Beijing University of Posts and Telecommunications; Peng Cheng Laboratory,100,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,综述、教程、愿景或编者按，非正式技术研究论文,,pending,,,0,metadata_screened,
communication-beyond-transmitting-bits-semantics-guided-source-and-channel-coding-2022,2022,Communication Beyond Transmitting Bits: Semantics-Guided Source and Channel Coding,Jincheng Dai; Ping Zhang; Kai Niu; Sixian Wang; Zhongwei Si; Xiaoqi Qin,IEEE Wireless Communications,article,10.1109/mwc.017.2100705,https://openalex.org/W4290713755,"Classical communication paradigms focus on accurately transmitting bits over a noisy channel, and Shannon theory provides a fundamental theoretical limit on the rate of reliable communications. In this approach, bits are treated equally, and the communication system is oblivious to what meaning these bits convey or how they would be used. Future communications toward intelligence and conciseness will predictably play a dominant role, and the proliferation of connected intelligent agents requires a radical rethinking of coded transmission paradigm to support the new communication morphology on the horizon. The recent concept of “semantic communications” offers a promising research direction. Injecting semantic guidance into the coded transmission design to achieve semantics-aware communications shows great potential for further breakthrough in effectiveness and reliability. This article sheds light on semantics-guided source and channel coding as a transmission paradigm of semantic communications, which exploits both data semantics diversity and wireless channel diversity together to boost the whole system performance. We present the general system architecture and key techniques, and indicate some open issues on this topic.",https://doi.org/10.1109/mwc.017.2100705,direct,"指定团队负责人直接署名：Kai Niu, Ping Zhang",Beijing University of Posts and Telecommunications,94,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,综述、教程、愿景或编者按，非正式技术研究论文,,pending,,,0,metadata_screened,
communication-beyond-transmitting-bits-semantics-guided-source-and-channel-coding-2022,2022,Communication Beyond Transmitting Bits: Semantics-Guided Source and Channel Coding,Jincheng Dai; Ping Zhang; Kai Niu; Sixian Wang; Zhongwei Si; Xiaoqi Qin,arXiv (Cornell University),preprint,10.48550/arxiv.2208.02481,https://openalex.org/W4290061660,"Classical communication paradigms focus on accurately transmitting bits over a noisy channel, and Shannon theory provides a fundamental theoretical limit on the rate of reliable communications. In this approach, bits are treated equally, and the communication system is oblivious to what meaning these bits convey or how they would be used. Future communications towards intelligence and conciseness will predictably play a dominant role, and the proliferation of connected intelligent agents requires a radical rethinking of coded transmission paradigm to support the new communication morphology on the horizon. The recent concept of ""semantic communications"" offers a promising research direction. Injecting semantic guidance into the coded transmission design to achieve semantics-aware communications shows great potential for further breakthrough in effectiveness and reliability. This article sheds light on semantics-guided source and channel coding as a transmission paradigm of semantic communications, which exploits both data semantics diversity and wireless channel diversity together to boost the whole system performance. We present the general system architecture and key techniques, and indicate some open issues on this topic.",https://doi.org/10.48550/arxiv.2208.02481,direct,"指定团队负责人直接署名：Kai Niu, Ping Zhang",,4,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
distributed-image-transmission-using-deep-joint-source-channel-coding-2022,2022,Distributed Image Transmission using Deep Joint Source-Channel Coding,Sixian Wang; Ke Yang; Jincheng Dai; Kai Niu,arXiv (Cornell University),preprint,10.48550/arxiv.2201.10340,https://openalex.org/W4285707593,"We study the problem of deep joint source-channel coding (D-JSCC) for correlated image sources, where each source is transmitted through a noisy independent channel to the common receiver. In particular, we consider a pair of images captured by two cameras with probably overlapping fields of view transmitted over wireless channels and reconstructed in the center node. The challenging problem involves designing a practical code to utilize both source and channel correlations to improve transmission efficiency without additional transmission overhead. To tackle this, we need to consider the common information across two stereo images as well as the differences between two transmission channels. In this case, we propose a deep neural networks solution that includes lightweight edge encoders and a powerful center decoder. Besides, in the decoder, we propose a novel channel state information aware cross attention module to highlight the overlapping fields and leverage the relevance between two noisy feature maps.Our results show the impressive improvement of reconstruction quality in both links by exploiting the noisy representations of the other link. Moreover, the proposed scheme shows competitive results compared to the separated schemes with capacity-achieving channel codes.",https://doi.org/10.48550/arxiv.2201.10340,direct,指定团队负责人直接署名：Kai Niu,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
how-to-define-the-propagation-environment-semantics-and-its-application-in-scatterer-based-beam-prediction-2022,2022,How to Define the Propagation Environment Semantics and Its Application in Scatterer-Based Beam Prediction,Yutong Sun; Jianhua Zhang; Yu Li; Zhen Zhang; Ping Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2209.08245,https://openalex.org/W4296553779,"In view of the propagation environment directly determining the channel fading, the application tasks can also be solved with the aid of the environment information. Inspired by task-oriented semantic communication and machine learning (ML) powered environment-channel mapping methods, this work aims to provide a new view of the environment from the semantic level, which defines the propagation environment semantics (PES) as a limited set of propagation environment semantic symbols (PESS) for diverse application tasks. The PESS is extracted oriented to the tasks with channel properties as a foundation. For method validation, the PES-aided beam prediction (PESaBP) is presented in non-line-of-sight (NLOS). The PESS of environment features and graphs are given for the semantic actions of channel quality evaluation and target scatterer detection of maximum power, which can obtain 0.92 and 0.9 precision, respectively, and save over 87% of time cost.",https://doi.org/10.48550/arxiv.2209.08245,direct,指定团队负责人直接署名：Ping Zhang,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
innovative-semantic-communication-system-2022,2022,Innovative semantic communication system,Dong Chen; Haotai Liang; Xiaodong Xu; Shujun Han; Bizhu Wang; Ping Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2202.09595,https://openalex.org/W4226382174,"Traditional communication systems focus on the transmission process, and the context-dependent meaning has been ignored. The fact that 5G system has approached Shannon limit and the increasing amount of data will cause communication bottleneck, such as the increased delay problems. Inspired by the ability of artificial intelligence to understand semantics, we propose a new communication paradigm, which integrates artificial intelligence and communication, the semantic communication system. Semantic communication is at the second level of communication based on Shannon and Weaver\cite{6197583}, which retains the semantic features of the transmitted information and recovers the signal at the receiver, thus compressing the communication traffic without losing important information. Different from other semantic communication systems, the proposed system not only transmits semantic information but also transmits semantic decoder. In addition, a general semantic metrics is proposed to measure the quality of semantic communication system. In particular, the semantic communication system for image, namely AESC-I, is designed to verify the feasibility of the new paradigm. Simulations are conducted on our system with the additive white Gaussian noise (AWGN) and the multipath fading channel using MNIST and Cifar10 datasets. The experimental results show that DeepSC-I can effectively extract semantic information and reconstruct images at a relatively low SNR.",https://doi.org/10.48550/arxiv.2202.09595,direct,指定团队负责人直接署名：Ping Zhang,,5,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
iscom-interest-aware-semantic-communication-scheme-for-point-cloud-video-streaming-2022,2022,ISCom: Interest-aware Semantic Communication Scheme for Point Cloud Video Streaming,Yakun Huang; Boyuan Bai; Yuanwei Zhu; Xiuquan Qiao; Xiang Su; Ping Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2210.06808,https://openalex.org/W4306309311,"The provisioning of immersive point cloud video (PCV) streaming on pervasive mobile devices is a cornerstone for enabling immersive communication and interactions in the future 6G metaverse era. However, most streaming techniques are dedicated to efficient PCV compression and codec extending from traditional 3-DoF video services. Some emerging AI-enabled approaches are still in their infancy phase and are constrained by intensive computational and adaptive flow techniques. In this paper, we present ISCom, an Interest-aware Semantic Communication Scheme for PCV, consisting of a region-of-interest (ROI) selection module, a lightweight PCV streaming module, and an intelligent scheduler. First, we propose a two-stage efficient ROI selection method for providing interest-aware PCV streaming, which significantly reduces the data volume. Second, we design a lightweight PCV encoder-decoder network for resource-constrained devices, adapting to the heterogeneous computing capabilities of terminals. Third, we train a deep reinforcement learning (DRL)-based scheduler to adapt an optimal encoder-decoder network for various devices, considering the dynamic network environments and computing capabilities of different devices. Extensive experiments show that ISCom outperforms baselines on mobile devices at least 10 FPS and up to 22 FPS.",https://doi.org/10.48550/arxiv.2210.06808,direct,指定团队负责人直接署名：Ping Zhang,,9,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
joint-successive-cancellation-list-decoding-for-the-double-polar-codes-2022,2022,Joint Successive Cancellation List Decoding for the Double Polar codes,Yanfei Dong; Kai Niu; Jincheng Dai; Sen Wang; Yifei Yuan,arXiv (Cornell University),preprint,10.48550/arxiv.2201.02924,https://openalex.org/W4297575926,"As a new joint source-channel coding scheme, the double polar (D-Polar) codes have been proposed recently. In this letter, a novel joint source-channel decoder, namely the joint successive cancellation list (J-SCL) decoder, is proposed to improve the decoding performance of the D-Polar codes. We merge the trellis of the source polar code and that of the channel polar code to construct a compound trellis. In this compound trellis, the joint source-channel nodes represent both of the information bits and the high-entropy bits. Based on the compound trellis, the J-SCL decoder is designed to recover the source messages by combining the source SCL decoding and channel SCL decoding. The J-SCL decoder doubles the number of the decoding paths at each decoding level and then reserves the L paths with the smallest joint path-metric (JPM). For the JSC node, the JPM is updated considering both the channel decision log-likelihood ratios (LLRs) and the source decision LLRs. Simulation results show that the J-SCL decoder outperforms the turbo-like BP (TL-BP) decoder with lower complexity.",https://doi.org/10.48550/arxiv.2201.02924,direct,指定团队负责人直接署名：Kai Niu,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
