citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
distributed-semantic-communication-via-nonlinear-transform-coding-for-correlated-images-2026,2026,Distributed Semantic Communication via Nonlinear Transform Coding for Correlated Images,Yufei Bo; Meixia Tao; Kai Niu,IEEE Transactions on Communications,article,10.1109/tcomm.2026.3698877,,,https://doi.org/10.1109/tcomm.2026.3698877,direct,补充数据库轮次核验：指定负责人直接署名（Kai Niu）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
semantic-information-theory-and-method-2025,2025,Semantic Information Theory and Method,Kai Niu; Zijian Liang; Ping Zhang,2025 Asia Pacific Workshop on Data Science and Information Theory (APWDSIT),proceedings-article,10.1109/apwdsit64675.2025.11478551,,,https://doi.org/10.1109/apwdsit64675.2025.11478551,direct,"补充数据库轮次核验：指定负责人直接署名（Kai Niu, Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
synonymity-based-semantic-coding-for-efficient-speech-compression-2025,2025,Synonymity-Based Semantic Coding for Efficient Speech Compression,Shanhui Gan; Zijian Liang; Kai Niu; Ping Zhang,Interspeech 2025,proceedings-article,10.21437/interspeech.2025-2483,,,https://doi.org/10.21437/interspeech.2025-2483,direct,"补充数据库轮次核验：指定负责人直接署名（Kai Niu, Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。",,1,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
td-plc-a-semantic-aware-speech-encoding-for-improved-packet-loss-concealment-2024,2024,TD-PLC: A Semantic-Aware Speech Encoding for Improved Packet Loss Concealment,Jinghong Zhang; Zugang Zhao; Yonghui Liu; Jianbing Liu; Zhiqiang He; Kai Niu,Interspeech 2024,proceedings-article,10.21437/interspeech.2024-823,,,https://doi.org/10.21437/interspeech.2024-823,direct,补充数据库轮次核验：指定负责人直接署名（Kai Niu）；Crossref/DBLP 正式 DOI 元数据。,,3,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
svwit-synonymous-variational-wireless-image-transmission-for-semantic-communication-2026,2026,SVWIT: Synonymous Variational Wireless Image Transmission for Semantic Communication,Zijian Liang; Sen Wang; Kai Niu; Changshuo Wang; Jin Xu; Ping Zhang,IEEE Transactions on Network Science and Engineering,article,10.1109/tnse.2026.3695381,,,https://doi.org/10.1109/tnse.2026.3695381,direct,"补充数据库轮次核验：指定负责人直接署名（Kai Niu, Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
wireless-deep-speech-semantic-transmission-2023,2023,Wireless Deep Speech Semantic Transmission,Zixuan Xiao; Shengshi Yao; Jincheng Dai; Sixian Wang; Kai Niu; Ping Zhang,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,10.1109/icassp49357.2023.10094680,,,https://doi.org/10.1109/icassp49357.2023.10094680,direct,"补充数据库轮次核验：指定负责人直接署名（Kai Niu, Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。",,38,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
ssc-106-bit-s-ultra-low-bitrate-semantic-speech-coding-2025,2025,SSC: 106 bit/s Ultra-low Bitrate Semantic Speech Coding,Renjie Jia; Zhiqiang He; Kai Niu; Zixuan Xiao; Yonghui Liu; Jianbing Liu,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,10.1109/icassp49660.2025.10889978,,,https://doi.org/10.1109/icassp49660.2025.10889978,direct,补充数据库轮次核验：指定负责人直接署名（Kai Niu）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
efficient-video-semantic-transmission-needs-generative-latent-priors-2025,2025,Efficient Video Semantic Transmission Needs Generative Latent Priors,Sixian Wang; Jincheng Dai; Haotong Cao; Guo Lu; Kai Niu; Wenjun Xu; Wenjun Zhang; Ping Zhang,2025 Seventeenth International Conference on Wireless Communications and Signal Processing (WCSP),proceedings-article,10.1109/wcsp68525.2025.1010507,,,https://doi.org/10.1109/wcsp68525.2025.1010507,direct,"补充数据库轮次核验：指定负责人直接署名（Kai Niu, Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。",,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
semantic-communication-for-high-speed-mobility-scenarios-a-semantic-otfs-scheme-2026,2026,Semantic Communication for High-Speed Mobility Scenarios: A Semantic-OTFS Scheme,Yucheng Liu; Chen Dong; Haotai Liang; Weizhi Li; Xiaodong Xu; Ping Zhang,IEEE Transactions on Vehicular Technology,article,10.1109/tvt.2026.3670829,,,https://doi.org/10.1109/tvt.2026.3670829,direct,补充数据库轮次核验：指定负责人直接署名（Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
semantic-knowledge-base-based-dual-mode-video-semantic-communication-2026,2026,Semantic Knowledge Base Based Dual-mode Video Semantic Communication,Zhicheng Bao; Long Liu; Nan Ma; Chen Dong; Hao Chen; Xiaodong Xu; Ping Zhang,ICC 2026 - IEEE International Conference on Communications,proceedings-article,10.1109/icc59461.2026.11587854,,,https://doi.org/10.1109/icc59461.2026.11587854,direct,补充数据库轮次核验：指定负责人直接署名（Ping Zhang）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
