citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
deep-learning-enabled-semantic-communication-systems-with-task-unaware-transmitter-and-dynamic-data-2022,2022,Deep Learning-Enabled Semantic Communication Systems With Task-Unaware Transmitter and Dynamic Data,Hongwei Zhang; Shuo Shao; Meixia Tao; Xiaoyan Bi; Khaled B. Letaief,IEEE Journal on Selected Areas in Communications,article,10.1109/jsac.2022.3221991,https://openalex.org/W4312050893,"Existing deep learning-enabled semantic communication systems often rely on shared background knowledge between the transmitter and receiver that includes empirical data and their associated semantic information. In practice, the semantic information is defined by the pragmatic task of the receiver and cannot be known to the transmitter. The actual observable data at the transmitter can also have non-identical distribution with the empirical data in the shared background knowledge library. To address these practical issues, this paper proposes a new neural network-based semantic communication system for image transmission, where the task is unaware at the transmitter and the data environment is dynamic. The system consists of two main parts, namely the semantic coding (SC) network and the data adaptation (DA) network. The SC network learns how to extract and transmit the semantic information using a receiver-leading training process. By using the domain adaptation technique from transfer learning, the DA network learns how to convert the data observed into a similar form of the empirical data that the SC network can process without re-training. Numerical experiments show that the proposed method can be adaptive to observable datasets while keeping high performance in terms of both data recovery and task execution.",https://doi.org/10.1109/jsac.2022.3221991,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Huawei Technologies (Canada); Hong Kong University of Science and Technology; University of Hong Kong,233,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
deep-learning-enabled-semantic-communication-systems-with-task-unaware-transmitter-and-dynamic-data-2022,2022,Deep Learning-Enabled Semantic Communication Systems with Task-Unaware Transmitter and Dynamic Data,Hongwei Zhang; Shuo Shao; Meixia Tao; Xiaoyan Bi; Khaled B. Letaief,arXiv (Cornell University),preprint,10.48550/arxiv.2205.00271,https://openalex.org/W4225429109,"Existing deep learning-enabled semantic communication systems often rely on shared background knowledge between the transmitter and receiver that includes empirical data and their associated semantic information. In practice, the semantic information is defined by the pragmatic task of the receiver and cannot be known to the transmitter. The actual observable data at the transmitter can also have non-identical distribution with the empirical data in the shared background knowledge library. To address these practical issues, this paper proposes a new neural network-based semantic communication system for image transmission, where the task is unaware at the transmitter and the data environment is dynamic. The system consists of two main parts, namely the semantic coding (SC) network and the data adaptation (DA) network. The SC network learns how to extract and transmit the semantic information using a receiver-leading training process. By using the domain adaptation technique from transfer learning, the DA network learns how to convert the data observed into a similar form of the empirical data that the SC network can process without retraining. Numerical experiments show that the proposed method can be adaptive to observable datasets while keeping high performance in terms of both data recovery and task execution.",https://doi.org/10.48550/arxiv.2205.00271,direct,指定团队负责人直接署名：Meixia Tao,,5,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
encrypted-semantic-communication-using-adversarial-training-for-privacy-preserving-2022,2022,Encrypted Semantic Communication Using Adversarial Training for Privacy Preserving,Xinlai Luo; Zhiyong Chen; Meixia Tao; Feng Yang,arXiv (Cornell University),preprint,10.48550/arxiv.2209.09008,https://openalex.org/W4296564886,"Semantic communication is implemented based on shared background knowledge, but the sharing mechanism risks privacy leakage. In this letter, we propose an encrypted semantic communication system (ESCS) for privacy preserving, which combines universality and confidentiality. The universality is reflected in that all network modules of the proposed ESCS are trained based on a shared database, which is suitable for large-scale deployment in practical scenarios. Meanwhile, the confidentiality is achieved by symmetric encryption. Based on the adversarial training, we design an adversarial encryption training scheme to guarantee the accuracy of semantic communication in both encrypted and unencrypted modes. Experiment results show that the proposed ESCS with the adversarial encryption training scheme can perform well regardless of whether the semantic information is encrypted. It is difficult for the attacker to reconstruct the original semantic information from the eavesdropped message.",https://doi.org/10.48550/arxiv.2209.09008,direct,指定团队负责人直接署名：Meixia Tao,,3,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
learning-based-joint-coding-modulation-for-digital-semantic-communication-systems-2022,2022,Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,Yufei Bo; Yiheng Duan; Shuo Shao; Meixia Tao,,article,10.1109/wcsp55476.2022.10039447,https://openalex.org/W4321064272,"In learning-based semantic communications, neural networks have replaced different building blocks in traditional communication systems. However, the digital modulation still remains a challenge for neural networks. The intrinsic mech-anism of neural network based digital modulation is mapping continuous output of the neural network encoder into discrete constellation symbols, which is a non-differentiable function that cannot be trained with existing gradient descend algorithms. To overcome this challenge, in this paper we develop a joint coding-modulation scheme for digital semantic communications with BPSK modulation. In our method, the neural network outputs the likelihood of each constellation point, instead of having a concrete mapping. A random code rather than a deterministic code is hence used, which preserves more information for the symbols with a close likelihood on each constellation point. The joint coding-modulation design can match the modulation process with channel states, and hence improve the performance of digital semantic communications. Experiment results show that our method outperforms existing digital modulation methods in semantic communications over a wide range of SNR, and outperforms neural network based analog modulation method in low SNR regime.",https://doi.org/10.1109/wcsp55476.2022.10039447,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University,32,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
learning-based-joint-coding-modulation-for-digital-semantic-communication-systems-2022,2022,Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,Yufei Bo; Yiheng Duan; Shuo Shao; Meixia Tao,arXiv (Cornell University),preprint,10.48550/arxiv.2208.05704,https://openalex.org/W4291238919,"In learning-based semantic communications, neural networks have replaced different building blocks in traditional communication systems. However, the digital modulation still remains a challenge for neural networks. The intrinsic mechanism of neural network based digital modulation is mapping continuous output of the neural network encoder into discrete constellation symbols, which is a non-differentiable function that cannot be trained with existing gradient descend algorithms. To overcome this challenge, in this paper we develop a joint coding-modulation scheme for digital semantic communications with BPSK modulation. In our method, the neural network outputs the likelihood of each constellation point, instead of having a concrete mapping. A random code rather than a deterministic code is hence used, which preserves more information for the symbols with a close likelihood on each constellation point. The joint coding-modulation design can match the modulation process with channel states, and hence improve the performance of digital semantic communications. Experiment results show that our method outperforms existing digital modulation methods in semantic communications over a wide range of SNR, and outperforms neural network based analog modulation method in low SNR regime.",https://doi.org/10.48550/arxiv.2208.05704,direct,指定团队负责人直接署名：Meixia Tao,,3,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-superposition-code-approach-for-digital-semantic-communications-over-broadcast-channels-2023,2023,A Superposition Code Approach for Digital Semantic Communications Over Broadcast Channels,Yufei Bo; Shuo Shao; Meixia Tao,,article,10.1109/globecom54140.2023.10437022,https://openalex.org/W4392158893,"This paper investigates digital semantic communications over broadcast channels, where the transmitter has a common observable source to transmit, but the receivers desire to recover different levels of semantic information in adaptation to their respective channel conditions. Inspired by the capacity-achieving superposition coding structure for degraded broadcast channel, we propose a superposition coded modulation (SCM) scheme for semantic information transmission over a two-receiver Gaussian broadcast channel. In specific, the transmitter consists of two separate neural network (NN)-based semantic encoders, one NN-based linear minimum mean square error (LMMSE) decorrelator, and one superposition-based digital modulator. The SCM scheme enables the receiver with lower signal-to-noise ratio (SNR) to decode basic semantic information while the receiver with larger SNR can decode enhanced semantic information. Experiments are conducted on image transmission with coarse and fine classifications as semantics. Results show that our proposed SCM scheme outperforms the basic coded-modulation scheme without a superposition structure for both receivers, especially when channel conditions of the two receivers differ significantly. It also approaches the performance upperbound as if there were only one receiver.",https://doi.org/10.1109/globecom54140.2023.10437022,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University,2,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
a-wyner-ziv-coding-based-semantic-communication-approach-with-a-shared-semantic-codebook-2023,2023,A Wyner-Ziv Coding-Based Semantic Communication Approach with a Shared Semantic Codebook,Hongwei Zhang; Meixia Tao; Shuo Shao,,article,10.1109/gcwkshps58843.2023.10464918,https://openalex.org/W4393059663,"Recently, a codebook-assisted semantic communication framework has demonstrated performance gain over traditional semantic communication systems. In this paper, we further improve the performance of this method for image semantic communication from two aspects. First, we propose a semantic-aware codebook construction method, which is based on a novel distance measure, unifying the targets of the codeword encoder and the NN - based semantic encoder. Second, to enhance the transmission efficiency, we design the NN-based Wyner-Ziv encoder, which aims to reduce the redundancy between the coding results of the NN-based semantic encoder and the corresponding codewords. Numerical results show that our method can achieve a better performance than the conventional and codebook-assisted semantic encoding methods in both semantic information recovery and data information recovery.",https://doi.org/10.1109/gcwkshps58843.2023.10464918,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University,3,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
cddm-channel-denoising-diffusion-models-for-wireless-communications-2023,2023,CDDM: Channel Denoising Diffusion Models for Wireless Communications,Tong Wu; Zhiyong Chen; Dazhi He; Liang Qian; Yin Xu; Meixia Tao; Wenjun Zhang,,article,10.1109/globecom54140.2023.10436728,https://openalex.org/W4392175466,"Diffusion models (DM) can gradually learn to re-move noise, which have been widely used in artificial intelligence generated content (AIGC) in recent years. The property of DM for removing noise leads us to wonder whether DM can be applied to wireless communications to help the receiver eliminate the channel noise. To address this, we propose channel denoising diffusion models (CDDM) for wireless communications in this paper. CDDM can be applied as a new physical layer module after the channel equalization to learn the distribution of the channel input signal, and then utilizes this learned knowledge to remove the channel noise. We design corresponding training and sampling algorithms for the forward diffusion process and the reverse sampling process of CDDM. Moreover, we apply CDDM to a semantic communications system based on joint source-channel coding (JSCC). Experimental results demonstrate that CDDM can further reduce the mean square error (MSE) after minimum mean square error (MMSE) equalizer, and the joint CDDM and JSCC system achieves better performance than the JSCC system and the traditional JPEG2000 with low-density parity-check (LDPC) code approach.",https://doi.org/10.1109/globecom54140.2023.10436728,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University,31,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
cddm-channel-denoising-diffusion-models-for-wireless-communications-2023,2023,CDDM: Channel Denoising Diffusion Models for Wireless Communications,Tong Wu; Zhiyong Chen; Dazhi He; Liang Qian; Yin Xu; Meixia Tao; Wenjun Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2305.09161,https://openalex.org/W4376988769,"Diffusion models (DM) can gradually learn to remove noise, which have been widely used in artificial intelligence generated content (AIGC) in recent years. The property of DM for removing noise leads us to wonder whether DM can be applied to wireless communications to help the receiver eliminate the channel noise. To address this, we propose channel denoising diffusion models (CDDM) for wireless communications in this paper. CDDM can be applied as a new physical layer module after the channel equalization to learn the distribution of the channel input signal, and then utilizes this learned knowledge to remove the channel noise. We design corresponding training and sampling algorithms for the forward diffusion process and the reverse sampling process of CDDM. Moreover, we apply CDDM to a semantic communications system based on joint source-channel coding (JSCC). Experimental results demonstrate that CDDM can further reduce the mean square error (MSE) after minimum mean square error (MMSE) equalizer, and the joint CDDM and JSCC system achieves better performance than the JSCC system and the traditional JPEG2000 with low-density parity-check (LDPC) code approach.",https://doi.org/10.48550/arxiv.2305.09161,direct,指定团队负责人直接署名：Meixia Tao,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
cddm-channel-denoising-diffusion-models-for-wireless-semantic-communications-2023,2023,CDDM: Channel Denoising Diffusion Models for Wireless Semantic Communications,Tong Wu; Zhiyong Chen; Dazhi He; Liang Qian; Yin Xu; Meixia Tao; Wenjun Zhang,arXiv (Cornell University),preprint,10.48550/arxiv.2309.08895,https://openalex.org/W4386875082,"Diffusion models (DM) can gradually learn to remove noise, which have been widely used in artificial intelligence generated content (AIGC) in recent years. The property of DM for eliminating noise leads us to wonder whether DM can be applied to wireless communications to help the receiver mitigate the channel noise. To address this, we propose channel denoising diffusion models (CDDM) for semantic communications over wireless channels in this paper. CDDM can be applied as a new physical layer module after the channel equalization to learn the distribution of the channel input signal, and then utilizes this learned knowledge to remove the channel noise. We derive corresponding training and sampling algorithms of CDDM according to the forward diffusion process specially designed to adapt the channel models and theoretically prove that the well-trained CDDM can effectively reduce the conditional entropy of the received signal under small sampling steps. Moreover, we apply CDDM to a semantic communications system based on joint source-channel coding (JSCC) for image transmission. Extensive experimental results demonstrate that CDDM can further reduce the mean square error (MSE) after minimum mean square error (MMSE) equalizer, and the joint CDDM and JSCC system achieves better performance than the JSCC system and the traditional JPEG2000 with low-density parity-check (LDPC) code approach.",https://doi.org/10.48550/arxiv.2309.08895,direct,指定团队负责人直接署名：Meixia Tao,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
