citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
deep-learning-enabled-semantic-communication-systems-with-task-unaware-transmitter-and-dynamic-data-2022,2022,Deep Learning-Enabled Semantic Communication Systems With Task-Unaware Transmitter and Dynamic Data,Hongwei Zhang; Shuo Shao; Meixia Tao; Xiaoyan Bi; Khaled B. Letaief,IEEE Journal on Selected Areas in Communications,article,10.1109/jsac.2022.3221991,https://openalex.org/W4312050893,"Existing deep learning-enabled semantic communication systems often rely on shared background knowledge between the transmitter and receiver that includes empirical data and their associated semantic information. In practice, the semantic information is defined by the pragmatic task of the receiver and cannot be known to the transmitter. The actual observable data at the transmitter can also have non-identical distribution with the empirical data in the shared background knowledge library. To address these practical issues, this paper proposes a new neural network-based semantic communication system for image transmission, where the task is unaware at the transmitter and the data environment is dynamic. The system consists of two main parts, namely the semantic coding (SC) network and the data adaptation (DA) network. The SC network learns how to extract and transmit the semantic information using a receiver-leading training process. By using the domain adaptation technique from transfer learning, the DA network learns how to convert the data observed into a similar form of the empirical data that the SC network can process without re-training. Numerical experiments show that the proposed method can be adaptive to observable datasets while keeping high performance in terms of both data recovery and task execution.",https://doi.org/10.1109/jsac.2022.3221991,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Huawei Technologies (Canada); Hong Kong University of Science and Technology; University of Hong Kong,233,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2022_Zhang_Deep_Learning_Enabled_Semantic_Communication_Systems_With_Task_Unaware_Transmitter_and_Dyn.pdf,downloaded,https://arxiv.org/pdf/2205.00271,1ee5ec3b6a7960b11cf5f09588d2d127725883aed407e5c0547e3e87a9ddb656,16,fulltext_evidence_extracted,
a-wyner-ziv-coding-based-semantic-communication-approach-with-a-shared-semantic-codebook-2023,2023,A Wyner-Ziv Coding-Based Semantic Communication Approach with a Shared Semantic Codebook,Hongwei Zhang; Meixia Tao; Shuo Shao,,article,10.1109/gcwkshps58843.2023.10464918,https://openalex.org/W4393059663,"Recently, a codebook-assisted semantic communication framework has demonstrated performance gain over traditional semantic communication systems. In this paper, we further improve the performance of this method for image semantic communication from two aspects. First, we propose a semantic-aware codebook construction method, which is based on a novel distance measure, unifying the targets of the codeword encoder and the NN - based semantic encoder. Second, to enhance the transmission efficiency, we design the NN-based Wyner-Ziv encoder, which aims to reduce the redundancy between the coding results of the NN-based semantic encoder and the corresponding codewords. Numerical results show that our method can achieve a better performance than the conventional and codebook-assisted semantic encoding methods in both semantic information recovery and data information recovery.",https://doi.org/10.1109/gcwkshps58843.2023.10464918,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University,3,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2023_Zhang_A_Wyner_Ziv_Coding_Based_Semantic_Communication_Approach_with_a_Shared_Semantic_Codebook.pdf,downloaded,reused local corpus: kai-niu-semantic-communications\papers\A_Wyner-Ziv_Coding-Based_Semantic_Communication_Approach_with_a_Shared_Semantic_Codebook.pdf,ba2ee382e4286717a7393684e563eb60b047a558d59d899c85053fc5932d4d89,6,fulltext_evidence_extracted,
encrypted-semantic-communication-using-adversarial-training-for-privacy-preserving-2023,2023,Encrypted Semantic Communication Using Adversarial Training for Privacy Preserving,Xinlai Luo; Zhiyong Chen; Meixia Tao; Feng Yang,IEEE Communications Letters,article,10.1109/lcomm.2023.3269768,https://openalex.org/W4366957333,"Semantic communication is implemented based on shared background knowledge, but the sharing mechanism risks privacy leakage. In this letter, we propose an encrypted semantic communication system (ESCS) for privacy preserving, which combines universality and confidentiality. The universality is reflected in the fact that the structures of all network modules of the proposed ESCS are public, and the training database is shared, which is suitable for large-scale deployment in practical scenarios. Meanwhile, confidentiality is achieved through key encryption. Based on the adversarial training, we design an adversarial encryption training scheme to guarantee the accuracy of semantic communication in both encrypted and unencrypted modes. Experiment results show that the proposed ESCS with the adversarial encryption training scheme can perform well regardless of whether the semantic information is encrypted. It is difficult for the attacker to reconstruct the original semantic information from the eavesdropped message.",https://doi.org/10.1109/lcomm.2023.3269768,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University,81,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2023_Luo_Encrypted_Semantic_Communication_Using_Adversarial_Training_for_Privacy_Preserving.pdf,downloaded,https://arxiv.org/pdf/2209.09008,3e439a294bcf3bddf608dac8bc350459b442c303dd30b80af7af5c4f4b6dbcd0,5,fulltext_evidence_extracted,
a-deep-learning-based-broadcast-approach-for-image-semantic-communication-over-fading-channels-2024,2024,A deep learning based broadcast approach for image semantic communication over fading channels,Ma Kangning; Shi Yuxuan; Shuo Shao; Meixia Tao,China Communications,article,10.23919/jcc.fa.2023-0773.202407,https://openalex.org/W4400877563,"We consider an image semantic communication system in a time-varying fading Gaussian MIMO channel, with a finite number of channel states. A deep learning-aided broadcast approach scheme is proposed to benefit the adaptive semantic transmission in terms of different channel states. We combine the classic broadcast approach with the image transformer to implement this adaptive joint source and channel coding (JSCC) scheme. Specifically, we utilize the neural network (NN) to jointly optimize the hierarchical image compression and superposition code mapping within this scheme. The learned transformers and codebooks allow recovering of the image with an adaptive quality and low error rate at the receiver side, in each channel state. The simulation results exhibit our proposed scheme can dynamically adapt the coding to the current channel state and outperform some existing intelligent schemes with the fixed coding block.",https://doi.org/10.23919/jcc.fa.2023-0773.202407,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University,2,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Kangning_A_deep_learning_based_broadcast_approach_for_image_semantic_communication_over_fading_chan.pdf,downloaded,reused local corpus: kai-niu-semantic-communications\papers\A_deep_learning_based_broadcast_approach_for_image_semantic_communication_over_fading_channels.pdf,50fda75a805e3ffb768eb620c65442f82eeac4e53d3fdb26e9697f96d46edbe7,17,fulltext_evidence_extracted,
cddm-channel-denoising-diffusion-models-for-wireless-semantic-communications-2024,2024,CDDM: Channel Denoising Diffusion Models for Wireless Semantic Communications,Tong Wu; Zhiyong Chen; Dazhi He; Liang Qian; Yin Xu; Meixia Tao; Wenjun Zhang,IEEE Transactions on Wireless Communications,article,10.1109/twc.2024.3379244,https://openalex.org/W4393252833,"Diffusion models (DM) can gradually learn to remove noise, which have been widely used in artificial intelligence generated content (AIGC) in recent years. The property of DM for eliminating noise leads us to wonder whether DM can be applied to wireless communications to help the receiver mitigate the channel noise. To address this, we propose channel denoising diffusion models (CDDM) for semantic communications over wireless channels in this paper. CDDM can be applied as a new physical layer module after the channel equalization to learn the distribution of the channel input signal, and then utilizes this learned knowledge to remove the channel noise. We derive corresponding training and sampling algorithms of CDDM according to the forward diffusion process specially designed to adapt the channel models and theoretically prove that the well-trained CDDM can effectively reduce the conditional entropy of the received signal under small sampling steps. Moreover, we apply CDDM to a semantic communications system based on joint source-channel coding (JSCC) for image transmission and design a three-stage training algorithm for combining them. Extensive experimental results demonstrate that CDDM can further reduce the mean square error (MSE) after minimum mean square error (MMSE) equalizer, and the joint CDDM and JSCC system achieves better performance than the JSCC system, the traditional JPEG2000 with low-density parity-check (LDPC) code approach and other benchmarks in diverse scenarios.",https://doi.org/10.1109/twc.2024.3379244,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University; Shanghai Open University,108,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Wu_CDDM_Channel_Denoising_Diffusion_Models_for_Wireless_Semantic_Communications.pdf,downloaded,https://arxiv.org/pdf/2309.08895,cbee560b1a862aa6f0ef5633d07d41cfdf6545ae7c3c12261b6191cf1b093b55,13,fulltext_evidence_extracted,
deep-learning-based-superposition-coded-modulation-for-hierarchical-semantic-communications-over-broadcast-channels-2024,2024,Deep Learning-Based Superposition Coded Modulation for Hierarchical Semantic Communications Over Broadcast Channels,Yufei Bo; Shuo Shao; Meixia Tao,IEEE Transactions on Communications,article,10.1109/tcomm.2024.3447870,https://openalex.org/W4401749106,"We consider multi-user semantic communications over broadcast channels. While most existing works consider that each receiver requires either the same or independent semantic information, this paper explores the scenario where the semantic information desired by different receivers is different but correlated. In particular, we investigate semantic communications over Gaussian broadcast channels where the transmitter has a common observable source but the receivers wish to recover hierarchical semantic information in adaptation to their channel conditions. Inspired by the capacity achieving property of superposition coding, we propose a deep learning-based superposition coded modulation (DeepSCM) scheme. Specifically, the hierarchical semantic information is first extracted and encoded into basic and enhanced feature vectors. A linear minimum mean square error (LMMSE) decorrelator is then developed to obtain a refinement from the enhanced features that is uncorrelated with the basic features. Finally, the basic features and their refinement are superposed for broadcasting after probabilistic modulation. Extensive experiments are conducted for two-receiver image semantic broadcasting with coarse and fine classification as hierarchical semantic tasks. DeepSCM outperforms the benchmarking coded-modulation scheme without a superposition structure as well as the classic separate source-channel coding baselines, especially with large channel disparity and high order modulation. It also approaches the performance upperbound as if there were only one receiver.",https://doi.org/10.1109/tcomm.2024.3447870,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University,11,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Bo_Deep_Learning_Based_Superposition_Coded_Modulation_for_Hierarchical_Semantic_Communication.pdf,downloaded,https://arxiv.org/pdf/2401.01564,60826e16c56af82ba6c60757b670e84bb9dc8daae7f92b14a2b0ae667823cdc4,15,fulltext_evidence_extracted,
improving-learning-based-semantic-coding-efficiency-for-image-transmission-via-shared-semantic-aware-codebook-2024,2024,Improving Learning-Based Semantic Coding Efficiency for Image Transmission via Shared Semantic-Aware Codebook,Hongwei Zhang; Meixia Tao; Yaping Sun; Khaled B. Letaief,IEEE Transactions on Communications,article,10.1109/tcomm.2024.3450877,https://openalex.org/W4401943663,"Semantic communications have emerged as a new communication paradigm that extracts and transmits meaningful information relevant to receiver tasks. The trendy semantic coding framework, namely, learning-based joint source-channel coding (JSCC), lies on data-driven principles, with its efficacy depending on the employed neural networks (NNs). This paper introduces a codebook-assisted semantic coding method to improve JSCC performance for image transmission. Notably, a well-constructed codebook is employed to map each source image into a codeword, which subsequently provides shared prior information to assist semantic coding with general NN architectures. The main novelty is two-fold. First, we propose a general semantic-aware codebook construction method based on weighted data-semantic distance. In the case where the semantic information is characterized by discrete labels, this method is refined by encapsulating the labels into codeword indexes. Second, we derive a novel information-theoretic loss function via variational approximation for end-to-end training of the semantic encoder and decoder. This loss function includes a penalty term to mitigate redundancy in the received signals concerning codewords. Extensive experiments conducted over both additive noisy channels and fading channels validate the superior performance of the proposed method with even small-sized codebooks in both image reconstruction and classification accuracy.",https://doi.org/10.1109/tcomm.2024.3450877,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University; Peng Cheng Laboratory; Hong Kong University of Science and Technology; University of Hong Kong,14,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Zhang_Improving_Learning_Based_Semantic_Coding_Efficiency_for_Image_Transmission_via_Shared_Sema.pdf,downloaded,reused local corpus: kai-niu-semantic-communications\papers\Improving_Learning-Based_Semantic_Coding_Efficiency_for_Image_Transmission_via_Shared_Semantic-Aware_Codebook.pdf,1ca2f8a7177e438f61ddc9dc5fe4599d886fc6b501232c124456ca4144fe6c63,16,fulltext_evidence_extracted,
joint-coding-modulation-for-digital-semantic-communications-via-variational-autoencoder-2024,2024,Joint Coding-Modulation for Digital Semantic Communications via Variational Autoencoder,Yufei Bo; Yiheng Duan; Shuo Shao; Meixia Tao,IEEE Transactions on Communications,article,10.1109/tcomm.2024.3386577,https://openalex.org/W4394627253,"Semantic communications have emerged as a new paradigm for improving communication efficiency by transmitting the semantic information of a source message that is most relevant to a desired task at the receiver. Most existing approaches typically utilize neural networks (NNs) to design end-to-end semantic communication systems, where NN-based semantic encoders output continuously distributed signals to be sent directly to the channel in an analog fashion. In this work, we propose a joint coding-modulation (JCM) framework for digital semantic communications by using variational autoencoder (VAE). Our approach learns the transition probability from source data to discrete constellation symbols, thereby avoiding the non-differentiability problem of digital modulation. Meanwhile, by jointly designing the coding and modulation process together, we can match the obtained modulation strategy with the operating channel condition. We also derive a matching loss function with information-theoretic meaning for end-to-end training. Experiments on image semantic communication validate the superiority of our proposed JCM framework over the state-of-the-art quantization-based digital semantic coding-modulation methods across a wide range of channel conditions, transmission rates, and modulation orders. Furthermore, its performance gap to analog semantic communication reduces as the modulation order increases while enjoying the hardware implementation convenience.",https://doi.org/10.1109/tcomm.2024.3386577,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University,94,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Bo_Joint_Coding_Modulation_for_Digital_Semantic_Communications_via_Variational_Autoencoder.pdf,downloaded,reused local corpus: digital-semantic-communications\papers\Joint_Coding-Modulation_for_Digital_Semantic_Communications_via_Variational_Autoencoder.pdf,9d0331587a346f28421ac8db2b9f3c09cd075abe3b080a39c37302d82c7ca299,15,fulltext_evidence_extracted,
multi-user-semantic-fusion-for-semantic-communications-over-degraded-broadcast-channels-2024,2024,Multi-User Semantic Fusion for Semantic Communications over Degraded Broadcast Channels,Tong Wu; Zhiyong Chen; Meixia Tao; Bin Xia; Zhang Wenjun,China Communications,article,10.23919/jcc.fa.2023-0766.202410,https://openalex.org/W4404133033,"Degraded broadcast channels (DBC) are a typical multiuser communication scenario, Semantic communications over DBC still lack in-depth research. In this paper, we design a semantic communications approach based on multi-user semantic fusion for wireless image transmission over DBC. The transmitter extracts semantic features for two users separately and then effectively fuses them for broadcasting by leveraging semantic similarity. Unlike traditional allocation of time, power, or bandwidth, the semantic fusion scheme can dynamically control the weight of the semantic features of the two users to balance their performance. Considering the different channel state information (CSI) of both users over DBC, a DBC-Aware method is developed that embeds the CSI of both users into the joint source-channel coding encoder and fusion module to adapt to the channel. Experimental results show that the proposed system outperforms the traditional broadcasting schemes.",https://doi.org/10.23919/jcc.fa.2023-0766.202410,direct,指定团队负责人直接署名：Meixia Tao,Shanghai Jiao Tong University; Shandong Jiaotong University,7,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,papers/2024_Wu_Multi_User_Semantic_Fusion_for_Semantic_Communications_over_Degraded_Broadcast_Channels.pdf,downloaded,https://arxiv.org/pdf/2406.10556,17f95653e32aaabc6a2f3db54c8336738a36ce5a2d7e0673f5a8ea49d0334ee9,14,fulltext_evidence_extracted,
adaptive-task-oriented-communication-with-fairness-guarantees-2025,2025,Adaptive Task-Oriented Communication with Fairness Guarantees,Jiaxuan Li; Songjie Xie; Yuanming Shi; Youlong Wu; Meixia Tao,ICC 2025 - IEEE International Conference on Communications,proceedings-article,10.1109/icc52391.2025.11160864,,,https://doi.org/10.1109/icc52391.2025.11160864,direct,补充数据库轮次核验：指定负责人直接署名（Meixia Tao）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,papers/2025_Li_Adaptive_Task_Oriented_Communication_with_Fairness_Guarantees.pdf,downloaded,reused local corpus: kai-niu-semantic-communications\papers\Adaptive_Task-Oriented_Communication_with_Fairness_Guarantees.pdf,68d882edb7ee28566560a14cba09d6dcdf658dfa8f128d0cae110addfbffa40e,6,fulltext_evidence_extracted,
