citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
communicate-less-synthesize-the-rest-latency-aware-intent-based-generative-semantic-multicasting-with-diffusion-models-2024,2024,"Communicate Less, Synthesize the Rest: Latency-aware Intent-based Generative Semantic Multicasting with Diffusion Models",Xinkai Liu; Mahdi Boloursaz Mashhadi; Li Qiao; Yi Ma; Rahim Tafazolli; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2411.02334,https://openalex.org/W4404355280,"Generative diffusion models (GDMs) have recently shown great success in synthesizing multimedia signals with high perceptual quality, enabling highly efficient semantic communications in future wireless networks. In this paper, we develop an intent-aware generative semantic multicasting framework utilizing pre-trained diffusion models. In the proposed framework, the transmitter decomposes the source signal into multiple semantic classes based on the multi-user intent, i.e. each user is assumed to be interested in details of only a subset of the semantic classes. To better utilize the wireless resources, the transmitter sends to each user only its intended classes, and multicasts a highly compressed semantic map to all users over shared wireless resources that allows them to locally synthesize the other classes, namely non-intended classes, utilizing pre-trained diffusion models. The signal retrieved at each user is thereby partially reconstructed and partially synthesized utilizing the received semantic map. We design a communication/computation-aware scheme for per-class adaptation of the communication parameters, such as the transmission power and compression rate, to minimize the total latency of retrieving signals at multiple receivers, tailored to the prevailing channel conditions as well as the users' reconstruction/synthesis distortion/perception requirements. The simulation results demonstrate significantly reduced per-user latency compared with non-generative and intent-unaware multicasting benchmarks while maintaining high perceptual quality of the signals retrieved at the users.",https://doi.org/10.48550/arxiv.2411.02334,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
generative-semantic-communication-via-textual-prompts-latency-performance-tradeoffs-2024,2024,Generative Semantic Communication via Textual Prompts: Latency Performance Tradeoffs,Mengmeng Ren; Li Qiao; Long Yang; Zhen Gao; Jian Chen; Mahdi Boloursaz Mashhadi; Pei Xiao; Rahim Tafazolli; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2409.09715,https://openalex.org/W4403668307,"This paper develops an edge-device collaborative Generative Semantic Communications (Gen SemCom) framework leveraging pre-trained Multi-modal/Vision Language Models (M/VLMs) for ultra-low-rate semantic communication via textual prompts. The proposed framework optimizes the use of M/VLMs on the wireless edge/device to generate high-fidelity textual prompts through visual captioning/question answering, which are then transmitted over a wireless channel for SemCom. Specifically, we develop a multi-user Gen SemCom framework using pre-trained M/VLMs, and formulate a joint optimization problem of prompt generation offloading, communication and computation resource allocation to minimize the latency and maximize the resulting semantic quality. Due to the nonconvex nature of the problem with highly coupled discrete and continuous variables, we decompose it as a two-level problem and propose a low-complexity swap/leaving/joining (SLJ)-based matching algorithm. Simulation results demonstrate significant performance improvements over the conventional semanticunaware/non-collaborative offloading benchmarks.",https://doi.org/10.48550/arxiv.2409.09715,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
generative-semantic-communications-with-foundation-models-perception-error-analysis-and-semantic-aware-power-allocation-2024,2024,Generative Semantic Communications with Foundation Models: Perception-Error Analysis and Semantic-Aware Power Allocation,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli; Jiangzhou Wang,arXiv (Cornell University),preprint,10.48550/arxiv.2411.04575,https://openalex.org/W4404397042,"Generative foundation models can revolutionize the design of semantic communication (SemCom) systems allowing high fidelity exchange of semantic information at ultra low rates. In this work, a generative SemCom framework with pretrained foundation models is proposed, where both uncoded forward-with-error and coded discard-with-error schemes are developed for the semantic decoder. To characterize the impact of transmission reliability on the perceptual quality of the regenerated signal, their mathematical relationship is analyzed from a rate-distortion-perception perspective, which is proved to be non-decreasing. The semantic values are defined to measure the semantic information of multimodal semantic features accordingly. We also investigate semantic-aware power allocation problems aiming at power consumption minimization for ultra low rate and high fidelity SemComs. To solve these problems, two semantic-aware power allocation methods are proposed by leveraging the non-decreasing property of the perception-error relationship. Numerically, perception-error functions and semantic values of semantic data streams under both schemes for image tasks are obtained based on the Kodak dataset. Simulation results show that our proposed semanticaware method significantly outperforms conventional approaches, particularly in the channel-coded case (up to 90% power saving).",https://doi.org/10.48550/arxiv.2411.04575,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
latency-aware-generative-semantic-communications-with-pre-trained-diffusion-models-2024,2024,Latency-Aware Generative Semantic Communications With Pre-Trained Diffusion Models,Li Qiao; Mahdi Boloursaz Mashhadi; Zhen Gao; Chuan Heng Foh; Pei Xiao; Mehdi Bennis,IEEE Wireless Communications Letters,article,10.1109/lwc.2024.3429295,https://openalex.org/W4400679943,"Generative foundation AI models have recently shown great success in synthesizing natural signals with high perceptual quality using only textual prompts and conditioning signals to guide the generation process. This enables semantic communications at extremely low data rates in future wireless networks. In this letter, we develop a latency-aware semantic communications framework with pre-trained generative models. The transmitter performs multi-modal semantic decomposition on the input signal and transmits each semantic stream with the appropriate coding and communication schemes based on the intent. For the prompt, we adopt a re-transmission-based scheme to ensure reliable transmission, and for the other semantic modalities we use an adaptive modulation/coding scheme to achieve robustness to the changing wireless channel. Furthermore, we design a semantic and latency-aware scheme to allocate transmission power to different semantic modalities based on their importance subjected to semantic quality constraints. At the receiver, a pre-trained generative model synthesizes a high fidelity signal using the received multi-stream semantics. Simulation results demonstrate ultra-low-rate, low-latency, and channel-adaptive semantic communications.",https://doi.org/10.1109/lwc.2024.3429295,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,Beijing Institute of Technology; University of Surrey; University of Oulu,73,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
latency-aware-generative-semantic-communications-with-pre-trained-diffusion-models-2024,2024,Latency-Aware Generative Semantic Communications with Pre-Trained Diffusion Models,Li Qiao; Mahdi Boloursaz Mashhadi; Zhen Gao; Chuan Heng Foh; Pei Xiao; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2403.17256,https://openalex.org/W4393284492,"Generative foundation AI models have recently shown great success in synthesizing natural signals with high perceptual quality using only textual prompts and conditioning signals to guide the generation process. This enables semantic communications at extremely low data rates in future wireless networks. In this paper, we develop a latency-aware semantic communications framework with pre-trained generative models. The transmitter performs multi-modal semantic decomposition on the input signal and transmits each semantic stream with the appropriate coding and communication schemes based on the intent. For the prompt, we adopt a re-transmission-based scheme to ensure reliable transmission, and for the other semantic modalities we use an adaptive modulation/coding scheme to achieve robustness to the changing wireless channel. Furthermore, we design a semantic and latency-aware scheme to allocate transmission power to different semantic modalities based on their importance subjected to semantic quality constraints. At the receiver, a pre-trained generative model synthesizes a high fidelity signal using the received multi-stream semantics. Simulation results demonstrate ultra-low-rate, low-latency, and channel-adaptive semantic communications.",https://doi.org/10.48550/arxiv.2403.17256,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
semantic-aware-power-allocation-for-generative-semantic-communications-with-foundation-models-2024,2024,Semantic-Aware Power Allocation for Generative Semantic Communications with Foundation Models,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli,,article,10.1109/gcwkshp64532.2024.11100549,https://openalex.org/W4413180563,"Recent advancements in diffusion models have led to a significant breakthrough in generative modeling. The combination of the generative model and semantic communication (SemCom) enables high-fidelity semantic information exchange at ultra-low rates. In this paper, a novel generative SemCom framework for image tasks is proposed, utilizing pre-trained foundation models as semantic encoders and decoders for semantic feature extraction and image regeneration, respectively. The mathematical relationship between transmission reliability and the perceptual quality of regenerated images is modeled and the semantic values of extracted features are defined accordingly. This relationship is derived through numerical simulations on the Kodak dataset. Furthermore, we investigate the semantic-aware power allocation problem, aiming to minimize total power consumption while guaranteeing semantic performance. To solve this problem, two semantic-aware power allocation methods are proposed by constraint decoupling and bisection search, respectively. Numerical results demonstrate that the proposed semantic-aware methods outperform conventional approach in terms of total power consumption.",https://doi.org/10.1109/gcwkshp64532.2024.11100549,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",University of Surrey,13,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
semantic-aware-power-allocation-for-generative-semantic-communications-with-foundation-models-2024,2024,Semantic-Aware Power Allocation for Generative Semantic Communications with Foundation Models,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli,arXiv (Cornell University),preprint,10.48550/arxiv.2407.03050,https://openalex.org/W4400376512,"Recent advancements in diffusion models have made a significant breakthrough in generative modeling. The combination of the generative model and semantic communication (SemCom) enables high-fidelity semantic information exchange at ultra-low rates. A novel generative SemCom framework for image tasks is proposed, wherein pre-trained foundation models serve as semantic encoders and decoders for semantic feature extractions and image regenerations, respectively. The mathematical relationship between the transmission reliability and the perceptual quality of the regenerated image and the semantic values of semantic features are modeled, which are obtained by conducting numerical simulations on the Kodak dataset. We also investigate the semantic-aware power allocation problem, with the objective of minimizing the total power consumption while guaranteeing semantic performance. To solve this problem, two semanticaware power allocation methods are proposed by constraint decoupling and bisection search, respectively. Numerical results show that the proposed semantic-aware methods demonstrate superior performance compared to the conventional one in terms of total power consumption.",https://doi.org/10.48550/arxiv.2407.03050,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
adaptive-semantic-communication-for-gaze-guided-stereo-media-transmission-2025,2025,Adaptive Semantic Communication for Gaze-guided Stereo Media Transmission,Jingxuan Men; Mahdi Boloursaz Mashhadi; Ning Wang; Yi Ma; Mike Nilsson,,article,10.1109/metacom65502.2025.00050,https://openalex.org/W4415034183,"Stereo images, which comprise image pairs captured from slightly offset viewpoints to simulate binocular vision, have found extensive applications in domains such as virtual reality (VR), 3D reconstruction, and autonomous driving. Considering their integration in immersive systems like VR head-mounted displays, this work proposes a gaze-guided adaptive semantic communication for stereoscopic media transmission. By dynamically adjusting the transmission of visual features in response to varying channel conditions, the proposed method prioritizes the semantic content most relevant to the user’s gaze. This enables efficient rate adaptation and ensures high-quality reconstruction of regions of interest, thereby enhancing perceptual experience under constrained bandwidth scenarios.",https://doi.org/10.1109/metacom65502.2025.00050,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
generative-semantic-communication-via-textual-prompts-latency-performance-tradeoffs-2025,2025,Generative Semantic Communication via Textual Prompts: Latency Performance Tradeoffs,Mengmeng Ren; Li Qiao; Long Yang; Zhen Gao; Jian Chen; Mahdi Boloursaz Mashhadi; Pei Xiao; Rahim Tafazolli; Mehdi Bennis,IEEE Transactions on Vehicular Technology,article,10.1109/tvt.2025.3566488,https://openalex.org/W4410028549,"This paper develops an edge-device collaborative Generative Semantic Communications (Gen SemCom) framework leveraging pre-trained Multi-modal/Vision Language Models (M/VLMs) for ultra-low-rate semantic communication via textual prompts. The proposed framework optimizes the use of M/VLMs on the wireless edge/device to generate high-fidelity textual prompts through visual captioning/question answering, which are then transmitted over a wireless channel for SemCom. Specifically, we develop a multi-user Gen SemCom framework using pre-trained M/VLMs, and formulate a joint optimization problem of prompt generation offloading, communication and computation resource allocation to minimize the latency and maximize the resulting semantic quality. Due to the non-convex nature of the problem with highly coupled discrete and continuous variables, we decompose it as a two-level problem and propose a low-complexity swap/leaving/joining (SLJ)-based matching algorithm. Simulation results demonstrate significant performance improvements over the conventional semantic-unaware/ non-collaborative generation offloading benchmarks.",https://doi.org/10.1109/tvt.2025.3566488,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,Xidian University; Beijing Institute of Technology; University of Surrey; University of Oulu,11,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
generative-semantic-communications-with-foundation-models-perception-error-analysis-and-semantic-aware-power-allocation-2025,2025,Generative Semantic Communications With Foundation Models: Perception-Error Analysis and Semantic-Aware Power Allocation,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli; Jiangzhou Wang,IEEE Journal on Selected Areas in Communications,article,10.1109/jsac.2025.3559120,https://openalex.org/W4409310930,"Generative foundation models can revolutionize the design of semantic communication (SemCom) systems by enabling high fidelity exchange of semantic information at ultra-low rates. In this work, a generative SemCom framework utilizing pre-trained foundation models is proposed, where both uncoded forward-with-error and coded discard-with-error schemes are developed for the semantic decoder. Using the rate-distortion-perception theory, the relationship between regenerated signal quality and transmission reliability is characterized, which is proven to be non-decreasing. Based on this, semantic values are defined to quantify the semantic similarity between multimodal semantic features and the original source. We also investigate semantic-aware power allocation problems that minimize power consumption for ultra-low rate and high fidelity SemComs. Two semantic-aware power allocation methods are proposed by leveraging the non-decreasing property of the perception-error relationship. Based on the Kodak dataset, perception-error functions and semantic values are obtained for image tasks. Simulation results show that the proposed semantic-aware method significantly outperforms conventional approaches, particularly in the channel-coded case (up to 90% power saving).",https://doi.org/10.1109/jsac.2025.3559120,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",University of Surrey; University of Kent,21,True,OpenAlex metadata; DOI verified in acquisition/validation stage,included,正式同行评审技术研究论文，主题与团队归属均满足,,pending,,,0,metadata_screened,
