citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
communicate-less-synthesize-the-rest-latency-aware-intent-based-generative-semantic-multicasting-with-diffusion-models-2024,2024,"Communicate Less, Synthesize the Rest: Latency-aware Intent-based Generative Semantic Multicasting with Diffusion Models",Xinkai Liu; Mahdi Boloursaz Mashhadi; Li Qiao; Yi Ma; Rahim Tafazolli; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2411.02334,https://openalex.org/W4404355280,"Generative diffusion models (GDMs) have recently shown great success in synthesizing multimedia signals with high perceptual quality, enabling highly efficient semantic communications in future wireless networks. In this paper, we develop an intent-aware generative semantic multicasting framework utilizing pre-trained diffusion models. In the proposed framework, the transmitter decomposes the source signal into multiple semantic classes based on the multi-user intent, i.e. each user is assumed to be interested in details of only a subset of the semantic classes. To better utilize the wireless resources, the transmitter sends to each user only its intended classes, and multicasts a highly compressed semantic map to all users over shared wireless resources that allows them to locally synthesize the other classes, namely non-intended classes, utilizing pre-trained diffusion models. The signal retrieved at each user is thereby partially reconstructed and partially synthesized utilizing the received semantic map. We design a communication/computation-aware scheme for per-class adaptation of the communication parameters, such as the transmission power and compression rate, to minimize the total latency of retrieving signals at multiple receivers, tailored to the prevailing channel conditions as well as the users' reconstruction/synthesis distortion/perception requirements. The simulation results demonstrate significantly reduced per-user latency compared with non-generative and intent-unaware multicasting benchmarks while maintaining high perceptual quality of the signals retrieved at the users.",https://doi.org/10.48550/arxiv.2411.02334,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
generative-semantic-communication-via-textual-prompts-latency-performance-tradeoffs-2024,2024,Generative Semantic Communication via Textual Prompts: Latency Performance Tradeoffs,Mengmeng Ren; Li Qiao; Long Yang; Zhen Gao; Jian Chen; Mahdi Boloursaz Mashhadi; Pei Xiao; Rahim Tafazolli; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2409.09715,https://openalex.org/W4403668307,"This paper develops an edge-device collaborative Generative Semantic Communications (Gen SemCom) framework leveraging pre-trained Multi-modal/Vision Language Models (M/VLMs) for ultra-low-rate semantic communication via textual prompts. The proposed framework optimizes the use of M/VLMs on the wireless edge/device to generate high-fidelity textual prompts through visual captioning/question answering, which are then transmitted over a wireless channel for SemCom. Specifically, we develop a multi-user Gen SemCom framework using pre-trained M/VLMs, and formulate a joint optimization problem of prompt generation offloading, communication and computation resource allocation to minimize the latency and maximize the resulting semantic quality. Due to the nonconvex nature of the problem with highly coupled discrete and continuous variables, we decompose it as a two-level problem and propose a low-complexity swap/leaving/joining (SLJ)-based matching algorithm. Simulation results demonstrate significant performance improvements over the conventional semanticunaware/non-collaborative offloading benchmarks.",https://doi.org/10.48550/arxiv.2409.09715,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
generative-semantic-communications-with-foundation-models-perception-error-analysis-and-semantic-aware-power-allocation-2024,2024,Generative Semantic Communications with Foundation Models: Perception-Error Analysis and Semantic-Aware Power Allocation,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli; Jiangzhou Wang,arXiv (Cornell University),preprint,10.48550/arxiv.2411.04575,https://openalex.org/W4404397042,"Generative foundation models can revolutionize the design of semantic communication (SemCom) systems allowing high fidelity exchange of semantic information at ultra low rates. In this work, a generative SemCom framework with pretrained foundation models is proposed, where both uncoded forward-with-error and coded discard-with-error schemes are developed for the semantic decoder. To characterize the impact of transmission reliability on the perceptual quality of the regenerated signal, their mathematical relationship is analyzed from a rate-distortion-perception perspective, which is proved to be non-decreasing. The semantic values are defined to measure the semantic information of multimodal semantic features accordingly. We also investigate semantic-aware power allocation problems aiming at power consumption minimization for ultra low rate and high fidelity SemComs. To solve these problems, two semantic-aware power allocation methods are proposed by leveraging the non-decreasing property of the perception-error relationship. Numerically, perception-error functions and semantic values of semantic data streams under both schemes for image tasks are obtained based on the Kodak dataset. Simulation results show that our proposed semanticaware method significantly outperforms conventional approaches, particularly in the channel-coded case (up to 90% power saving).",https://doi.org/10.48550/arxiv.2411.04575,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
latency-aware-generative-semantic-communications-with-pre-trained-diffusion-models-2024,2024,Latency-Aware Generative Semantic Communications with Pre-Trained Diffusion Models,Li Qiao; Mahdi Boloursaz Mashhadi; Zhen Gao; Chuan Heng Foh; Pei Xiao; Mehdi Bennis,arXiv (Cornell University),preprint,10.48550/arxiv.2403.17256,https://openalex.org/W4393284492,"Generative foundation AI models have recently shown great success in synthesizing natural signals with high perceptual quality using only textual prompts and conditioning signals to guide the generation process. This enables semantic communications at extremely low data rates in future wireless networks. In this paper, we develop a latency-aware semantic communications framework with pre-trained generative models. The transmitter performs multi-modal semantic decomposition on the input signal and transmits each semantic stream with the appropriate coding and communication schemes based on the intent. For the prompt, we adopt a re-transmission-based scheme to ensure reliable transmission, and for the other semantic modalities we use an adaptive modulation/coding scheme to achieve robustness to the changing wireless channel. Furthermore, we design a semantic and latency-aware scheme to allocate transmission power to different semantic modalities based on their importance subjected to semantic quality constraints. At the receiver, a pre-trained generative model synthesizes a high fidelity signal using the received multi-stream semantics. Simulation results demonstrate ultra-low-rate, low-latency, and channel-adaptive semantic communications.",https://doi.org/10.48550/arxiv.2403.17256,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
semantic-aware-power-allocation-for-generative-semantic-communications-with-foundation-models-2024,2024,Semantic-Aware Power Allocation for Generative Semantic Communications with Foundation Models,Chunmei Xu; Mahdi Boloursaz Mashhadi; Yi Ma; Rahim Tafazolli,arXiv (Cornell University),preprint,10.48550/arxiv.2407.03050,https://openalex.org/W4400376512,"Recent advancements in diffusion models have made a significant breakthrough in generative modeling. The combination of the generative model and semantic communication (SemCom) enables high-fidelity semantic information exchange at ultra-low rates. A novel generative SemCom framework for image tasks is proposed, wherein pre-trained foundation models serve as semantic encoders and decoders for semantic feature extractions and image regenerations, respectively. The mathematical relationship between the transmission reliability and the perceptual quality of the regenerated image and the semantic values of semantic features are modeled, which are obtained by conducting numerical simulations on the Kodak dataset. We also investigate the semantic-aware power allocation problem, with the objective of minimizing the total power consumption while guaranteeing semantic performance. To solve this problem, two semanticaware power allocation methods are proposed by constraint decoupling and bisection search, respectively. Numerical results show that the proposed semantic-aware methods demonstrate superior performance compared to the conventional one in terms of total power consumption.",https://doi.org/10.48550/arxiv.2407.03050,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
todma-large-model-driven-massive-token-communications-for-semantic-multiple-access-2025,2025,ToDMA: Large Model-Driven Massive Token Communications for Semantic Multiple Access,Qiao Li; Mahdi Boloursaz Mashhadi; Zhen Gao; Robert Schober; Deniz Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2505.10946,https://openalex.org/W4415308861,"Token communications (TokenCom) is an emerging generative semantic communication paradigm, where tokens serve as compact representation units across modalities. Their contextual dependencies can be exploited by pretrained large models for semantic recovery. In this paper, we propose token-domain multiple access (ToDMA), a large-model-driven semantic multiple access scheme for massive token communications. ToDMA integrates unsourced random access with context-aware token processing. It enables massive uncoordinated devices to transmit tokenized source representations over common uplink resources. Specifically, each token index is associated with a shared modulation codeword, exposing token-level structure to the receiver for context-aware recovery. At the receiver, compressed sensing is first employed to jointly detect active tokens and estimate their corresponding channel state information (CSI) from the superposed signals. The source token sequences are then reconstructed by exploiting the consistency of token-associated CSI across multiple token positions. In the presence of token collisions, some active tokens may remain unassigned, leading to missing entries in the reconstructed token sequences. To recover these tokens, candidate-restricted masked-token prediction is performed using pretrained contextual models, thereby leveraging token-level context to mitigate collision effects. Simulation results on both image and text transmission tasks demonstrate that ToDMA reduces access latency while maintaining favorable token recovery and semantic reconstruction quality, showing its scalability for semantic multiple access.",https://doi.org/10.48550/arxiv.2505.10946,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
token-communications-a-large-model-driven-framework-for-cross-modal-context-aware-semantic-communications-2025,2025,Token Communications: A Large Model-Driven Framework for Cross-modal Context-aware Semantic Communications,Qiao Li; Mahdi Boloursaz Mashhadi; Zhen Gao; Rahim Tafazolli; Mehdi Bennis; Dusit Niyato,arXiv (Cornell University),preprint,10.48550/arxiv.2502.12096,https://openalex.org/W4407759083,"In this paper, we introduce token communications (TokCom), a large model-driven framework to leverage cross-modal context information in generative semantic communications (GenSC). TokCom is a new paradigm, motivated by the recent success of generative foundation models and multimodal large language models (GFM/MLLMs), where the communication units are tokens, enabling efficient transformer-based token processing at the transmitter and receiver. In this paper, we introduce the potential opportunities and challenges of leveraging context in GenSC, explore how to integrate GFM/MLLMs-based token processing into semantic communication systems to leverage cross-modal context effectively at affordable complexity, present the key principles for efficient TokCom at various layers in future wireless networks. In a typical image semantic communication setup, we demonstrate a significant improvement of the bandwidth efficiency, achieved by TokCom by leveraging the context information among tokens. Finally, the potential research directions are identified to facilitate adoption of TokCom in future wireless networks.",https://doi.org/10.48550/arxiv.2502.12096,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,4,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
token-domain-multiple-access-exploiting-semantic-orthogonality-for-collision-mitigation-2025,2025,Token-Domain Multiple Access: Exploiting Semantic Orthogonality for Collision Mitigation,Li Qiao; Mahdi Boloursaz Mashhadi; Zhen Gao; Deniz Gündüz,arXiv (Cornell University),preprint,10.48550/arxiv.2502.06118,https://openalex.org/W4407386360,"Token communications is an emerging generative semantic communication concept that reduces transmission rates by using context and transformer-based token processing, with tokens serving as universal semantic units. In this paper, we propose a semantic multiple access scheme in the token domain, referred to as ToDMA, where a large number of devices share a tokenizer and a modulation codebook for source and channel coding, respectively. Specifically, the source signal is tokenized into sequences, with each token modulated into a codeword. Codewords from multiple devices are transmitted simultaneously, resulting in overlap at the receiver. The receiver detects the transmitted tokens, assigns them to their respective sources, and mitigates token collisions by leveraging context and semantic orthogonality across the devices' messages. Simulations demonstrate that the proposed ToDMA framework outperforms context-unaware orthogonal and non-orthogonal communication methods in image transmission tasks, achieving lower latency and better image quality.",https://doi.org/10.48550/arxiv.2502.06118,direct,指定团队负责人直接署名：Mahdi Boloursaz Mashhadi,,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
video-tokencom-textual-intent-guided-multi-rate-video-token-communications-with-uep-based-adaptive-source-channel-coding-2026,2026,Video TokenCom: Textual Intent-Guided Multi-Rate Video Token Communications with UEP-Based Adaptive Source-Channel Coding,Jingxuan Men; Mahdi Boloursaz Mashhadi; Ning Wang; Yi Ma; Mike Nilsson; Rahim Tafazolli,arXiv (Cornell University),preprint,10.48550/arxiv.2603.02470,https://openalex.org/W7133549078,"Token Communication (TokenCom) is a new paradigm, motivated by the recent success of Large AI Models (LAMs) and Multimodal Large Language Models (MLLMs), where tokens serve as unified units of communication and computation, enabling efficient semantic- and goal-oriented information exchange in future wireless networks. In this paper, we propose a novel Video TokenCom framework for textual intent-guided multi-rate video communication with Unequal Error Protection (UEP)-based source-channel coding adaptation. The proposed framework integrates user-intended textual descriptions with discrete video tokenization and unequal error protection to enhance semantic fidelity under restrictive bandwidth constraints. First, discrete video tokens are extracted through a pretrained video tokenizer, while text-conditioned vision-language modeling and optical-flow propagation are jointly used to identify tokens that correspond to user-intended semantics across space and time. Next, we introduce a semantic-aware multi-rate bit-allocation strategy, in which tokens highly related to the user intent are encoded using full codebook precision, whereas non-intended tokens are represented through reduced codebook precision differential encoding, enabling rate savings while preserving semantic quality. Finally, a source and channel coding adaptation scheme is developed to adapt bit allocation and channel coding to varying resources and link conditions. Experiments on various video datasets demonstrate that the proposed framework outperforms both conventional and semantic communication baselines, in perceptual and semantic quality on a wide SNR range.",https://doi.org/10.48550/arxiv.2603.02470,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
video-tokencom-textual-intent-guided-multi-rate-video-token-communications-with-uep-based-adaptive-source-channel-coding-2026,2026,Video TokenCom: Textual Intent-Guided Multi-Rate Video Token Communications with UEP-Based Adaptive Source-Channel Coding,Jingxuan Men; Mahdi Boloursaz Mashhadi; Ning Wang; Yi Ma; Mike Nilsson; Rahim Tafazolli,arXiv (Cornell University),preprint,,https://openalex.org/W7133570511,"Token Communication (TokenCom) is a new paradigm, motivated by the recent success of Large AI Models (LAMs) and Multimodal Large Language Models (MLLMs), where tokens serve as unified units of communication and computation, enabling efficient semantic- and goal-oriented information exchange in future wireless networks. In this paper, we propose a novel Video TokenCom framework for textual intent-guided multi-rate video communication with Unequal Error Protection (UEP)-based source-channel coding adaptation. The proposed framework integrates user-intended textual descriptions with discrete video tokenization and unequal error protection to enhance semantic fidelity under restrictive bandwidth constraints. First, discrete video tokens are extracted through a pretrained video tokenizer, while text-conditioned vision-language modeling and optical-flow propagation are jointly used to identify tokens that correspond to user-intended semantics across space and time. Next, we introduce a semantic-aware multi-rate bit-allocation strategy, in which tokens highly related to the user intent are encoded using full codebook precision, whereas non-intended tokens are represented through reduced codebook precision differential encoding, enabling rate savings while preserving semantic quality. Finally, a source and channel coding adaptation scheme is developed to adapt bit allocation and channel coding to varying resources and link conditions. Experiments on various video datasets demonstrate that the proposed framework outperforms both conventional and semantic communication baselines, in perceptual and semantic quality on a wide SNR range.",http://arxiv.org/abs/2603.02470,direct,"指定团队负责人直接署名：Mahdi Boloursaz Mashhadi, Yi Ma",,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
