"year","title","authors","venue","doi","openalex_id","oa_url","cited_by_count","screening_status","screening_reason"
"2021","Deep Learning Enabled Semantic Communication Systems","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li; Biing‐Hwang Juang","IEEE Transactions on Signal Processing","10.1109/tsp.2021.3071210","https://openalex.org/W3036851434","https://ieeexplore.ieee.org/ielx7/78/9307529/09398576.pdf","1348","candidate",""
"2021","Semantic Communication Systems for Speech Transmission","Zhenzi Weng; Zhijin Qin","arXiv (Cornell University)","10.48550/arxiv.2102.12605","https://openalex.org/W3129640789","https://arxiv.org/pdf/2102.12605","6","candidate",""
"2021","Semantic Communication Systems for Speech Transmission","Zhenzi Weng; Zhijin Qin","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2021.3087240","https://openalex.org/W3166791908","https://qmro.qmul.ac.uk/xmlui/handle/123456789/72821","604","candidate",""
"2021","Semantic Communications for Speech Recognition","Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li","2021 IEEE Global Communications Conference (GLOBECOM)","10.1109/globecom46510.2021.9685250","https://openalex.org/W4210330825",,"51","candidate",""
"2021","Semantic Communications for Speech Recognition","Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2107.11190","https://openalex.org/W3186702804","https://arxiv.org/pdf/2107.11190","0","candidate",""
"2021","Semantic Communications for Speech Signals","Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li",,"10.1109/icc42927.2021.9500590","https://openalex.org/W3189491540",,"93","candidate",""
"2021","Semantic Communications: Principles and Challenges","Zhijin Qin; Xiaoming Tao; Jianhua Lu; Tong, Wen; Li, Geoffrey Ye","arXiv (Cornell University)","10.48550/arxiv.2201.01389","https://openalex.org/W4226150551","https://arxiv.org/pdf/2201.01389","269","candidate",""
"2021","Series Editorial The Fourth Issue of the Series on Machine Learning in Communications and Networks","Geoffrey Ye Li; Walid Saad; Ayfer Özgür; Peter Kairouz; Zhijin Qin; Jakob Hoydis; Zhu Han; Denız Gündüz; Jaafar M. H. Elmirghani","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2021.3126188","https://openalex.org/W4206831545","https://ieeexplore.ieee.org/ielx7/49/9653871/09653893.pdf","0","candidate",""
"2021","Series Editorial: The Third Issue of the Series on Machine Learning in Communications and Networks","Geoffrey Ye Li; Walid Saad; Ayfer Özgür; Peter Kairouz; Zhijin Qin; Jakob Hoydis; Zhu Han; Denız Gündüz; Jaafar M. H. Elmirghani","IEEE Journal on Selected Areas in Communications","10.1109/jsac.2021.3087366","https://openalex.org/W4205865712","https://ieeexplore.ieee.org/ielx7/49/9486979/09487483.pdf","0","candidate",""
"2021","Task-Oriented Image Transmission for Scene Classification in Unmanned Aerial Systems","Kang Xu; Bin Song; Jie Guo; Zhijin Qin; Fuyang Yu","arXiv (Cornell University)","10.48550/arxiv.2112.10948","https://openalex.org/W4303035223","https://arxiv.org/pdf/2112.10948","0","candidate",""
"2021","Task-Oriented Multi-User Semantic Communications","Huiqiang Xie; Zhijin Qin; Xiaoming Tao; Khaled B. Letaief","arXiv (Cornell University)","10.48550/arxiv.2112.10255","https://openalex.org/W4302763645","https://arxiv.org/pdf/2112.10255","0","candidate",""
"2021","Task-Oriented Multi-User Semantic Communications for Multimodal Data","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","","https://openalex.org/W3194679295","https://arxiv.org/pdf/2108.07357","1","candidate",""
"2021","Task-Oriented Multi-User Semantic Communications for VQA","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","IEEE Wireless Communications Letters","10.1109/lwc.2021.3136045","https://openalex.org/W4206175303","https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/79203/2/Xie%20Task-Oriented%20Multi-User%202021%20Accepted.pdf","218","candidate",""
"2021","Task-Oriented Multi-User Semantic Communications for VQA Task","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","10.48550/arxiv.2108.07357","https://openalex.org/W4206848268","https://arxiv.org/pdf/2108.07357","7","candidate",""
"2021","Task-Oriented Semantic Communications for Multimodal Data.","Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li","arXiv (Cornell University)","","https://openalex.org/W3201739761","https://arxiv.org/pdf/2108.07357.pdf","2","candidate",""
"2021","Toward Wisdom-Evolutionary and Primitive-Concise 6G: A New Paradigm of Semantic Communication Networks","Ping Zhang; Wenjun Xu; Hui Gao; Kai Niu; Xiaodong Xu; Xiaoqi Qin; Caixia Yuan; Zhijin Qin; Haitao Zhao; Jibo Wei; Fangwei Zhang","Engineering","10.1016/j.eng.2021.11.003","https://openalex.org/W3213872105","https://doi.org/10.1016/j.eng.2021.11.003","284","candidate",""
