citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
semantic-communication-systems-for-speech-transmission-2021,2021,Semantic Communication Systems for Speech Transmission,Zhenzi Weng; Zhijin Qin,arXiv (Cornell University),preprint,10.48550/arxiv.2102.12605,https://openalex.org/W3129640789,"Semantic communications could improve the transmission efficiency significantly by exploring the semantic information. In this paper, we make an effort to recover the transmitted speech signals in the semantic communication systems, which minimizes the error at the semantic level rather than the bit or symbol level. Particularly, we design a deep learning (DL)-enabled semantic communication system for speech signals, named DeepSC-S. In order to improve the recovery accuracy of speech signals, especially for the essential information, DeepSC-S is developed based on an attention mechanism by utilizing a squeeze-and-excitation (SE) network. The motivation behind the attention mechanism is to identify the essential speech information by providing higher weights to them when training the neural network. Moreover, in order to facilitate the proposed DeepSC-S for dynamic channel environments, we find a general model to cope with various channel conditions without retraining. Furthermore, we investigate DeepSC-S in telephone systems as well as multimedia transmission systems to verify the model adaptation in practice. The simulation results demonstrate that our proposed DeepSC-S outperforms the traditional communications in both cases in terms of the speech signals metrics, such as signal-to-distortion ration and perceptual evaluation of speech distortion. Besides, DeepSC-S is more robust to channel variations, especially in the low signal-to-noise (SNR) regime.",https://doi.org/10.48550/arxiv.2102.12605,direct,指定团队负责人直接署名：Zhijin Qin,Queen Mary University of London,6,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
semantic-communications-for-speech-recognition-2021,2021,Semantic Communications for Speech Recognition,Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li,arXiv (Cornell University),preprint,10.48550/arxiv.2107.11190,https://openalex.org/W3186702804,"The traditional communications transmit all the source data represented by bits, regardless of the content of source and the semantic information required by the receiver. However, in some applications, the receiver only needs part of the source data that represents critical semantic information, which prompts to transmit the application-related information, especially when bandwidth resources are limited. In this paper, we consider a semantic communication system for speech recognition by designing the transceiver as an end-to-end (E2E) system. Particularly, a deep learning (DL)-enabled semantic communication system, named DeepSC-SR, is developed to learn and extract text-related semantic features at the transmitter, which motivates the system to transmit much less than the source speech data without performance degradation. Moreover, in order to facilitate the proposed DeepSC-SR for dynamic channel environments, we investigate a robust model to cope with various channel environments without requiring retraining. The simulation results demonstrate that our proposed DeepSC-SR outperforms the traditional communication systems in terms of the speech recognition metrics, such as character-error-rate and word-error-rate, and is more robust to channel variations, especially in the low signal-to-noise (SNR) regime.",https://doi.org/10.48550/arxiv.2107.11190,direct,指定团队负责人直接署名：Zhijin Qin,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
semantic-communications-principles-and-challenges-2021,2021,Semantic Communications: Principles and Challenges,"Zhijin Qin; Xiaoming Tao; Jianhua Lu; Tong, Wen; Li, Geoffrey Ye",arXiv (Cornell University),preprint,10.48550/arxiv.2201.01389,https://openalex.org/W4226150551,"Semantic communication, regarded as the breakthrough beyond the Shannon paradigm, aims at the successful transmission of semantic information conveyed by the source rather than the accurate reception of each single symbol or bit regardless of its meaning. This article provides an overview on semantic communications. After a brief review of Shannon information theory, we discuss semantic communications with theory, framework, and system design enabled by deep learning. Different from the symbol/bit error rate used for measuring conventional communication systems, performance metrics for semantic communications are also discussed. The article concludes with several open questions in semantic communications.",https://doi.org/10.48550/arxiv.2201.01389,direct,指定团队负责人直接署名：Zhijin Qin,,269,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
task-oriented-image-transmission-for-scene-classification-in-unmanned-aerial-systems-2021,2021,Task-Oriented Image Transmission for Scene Classification in Unmanned Aerial Systems,Kang Xu; Bin Song; Jie Guo; Zhijin Qin; Fuyang Yu,arXiv (Cornell University),preprint,10.48550/arxiv.2112.10948,https://openalex.org/W4303035223,"The vigorous developments of Internet of Things make it possible to extend its computing and storage capabilities to computing tasks in the aerial system with collaboration of cloud and edge, especially for artificial intelligence (AI) tasks based on deep learning (DL). Collecting a large amount of image/video data, Unmanned aerial vehicles (UAVs) can only handover intelligent analysis tasks to the back-end mobile edge computing (MEC) server due to their limited storage and computing capabilities. How to efficiently transmit the most correlated information for the AI model is a challenging topic. Inspired by the task-oriented communication in recent years, we propose a new aerial image transmission paradigm for the scene classification task. A lightweight model is developed on the front-end UAV for semantic blocks transmission with perception of images and channel conditions. In order to achieve the tradeoff between transmission latency and classification accuracy, deep reinforcement learning (DRL) is used to explore the semantic blocks which have the best contribution to the back-end classifier under various channel conditions. Experimental results show that the proposed method can significantly improve classification accuracy compared to the fixed transmission strategy and traditional content perception methods.",https://doi.org/10.48550/arxiv.2112.10948,direct,指定团队负责人直接署名：Zhijin Qin,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
task-oriented-multi-user-semantic-communications-2021,2021,Task-Oriented Multi-User Semantic Communications,Huiqiang Xie; Zhijin Qin; Xiaoming Tao; Khaled B. Letaief,arXiv (Cornell University),preprint,10.48550/arxiv.2112.10255,https://openalex.org/W4302763645,"While semantic communications have shown the potential in the case of single-modal single-users, its applications to the multi-user scenario remain limited. In this paper, we investigate deep learning (DL) based multi-user semantic communication systems for transmitting single-modal data and multimodal data, respectively. We will adopt three intelligent tasks, including, image retrieval, machine translation, and visual question answering (VQA) as the transmission goal of semantic communication systems. We will then propose a Transformer based unique framework to unify the structure of transmitters for different tasks. For the single-modal multi-user system, we will propose two Transformer based models, named, DeepSC-IR and DeepSC-MT, to perform image retrieval and machine translation, respectively. In this case, DeepSC-IR is trained to optimize the distance in embedding space between images and DeepSC-MT is trained to minimize the semantic errors by recovering the semantic meaning of sentences. For the multimodal multi-user system, we develop a Transformer enabled model, named, DeepSC-VQA, for the VQA task by extracting text-image information at the transmitters and fusing it at the receiver. In particular, a novel layer-wise Transformer is designed to help fuse multimodal data by adding connection between each of the encoder and decoder layers. Numerical results will show that the proposed models are superior to traditional communications in terms of the robustness to channels, computational complexity, transmission delay, and the task-execution performance at various task-specific metrics.",https://doi.org/10.48550/arxiv.2112.10255,direct,指定团队负责人直接署名：Zhijin Qin,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
task-oriented-multi-user-semantic-communications-for-multimodal-data-2021,2021,Task-Oriented Multi-User Semantic Communications for Multimodal Data,Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li,arXiv (Cornell University),preprint,,https://openalex.org/W3194679295,"Semantic communications focus on the successful transmission of information relevant to the transmission task. In this paper, we investigate multi-users transmission for multimodal data in a task semantic communication system. We take the vision-answering as the semantic transmission task, in which part of the users transmit images and the other users transmit text to inquiry the information about the images. The receiver will provide answers based on the image and text from multiple users in the considered system. To exploit the correlation between the multimodal data from multiple users, we proposed a deep neural network enabled multi-user semantic communication system, named MU-DeepSC, for the visual question answering (VQA) task, in which the answer is highly dependent on the related image and text from the multiple users. Particularly, based on the memory, attention, and composition (MAC) neural network, we jointly design the transceiver and merge the MAC network to capture the features from the correlated multimodal data for serving the transmission task. The MU-DeepSC extracts the semantic information of image and text from different users and then generates the corresponding answers. Simulation results validate the feasibility of the proposed MU-DeepSC, which is more robust to various channel conditions than the traditional communication systems, especially in the low signal-to-noise (SNR) regime.",https://arxiv.org/pdf/2108.07357,direct,指定团队负责人直接署名：Zhijin Qin,,1,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
task-oriented-multi-user-semantic-communications-for-vqa-task-2021,2021,Task-Oriented Multi-User Semantic Communications for VQA Task,Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li,arXiv (Cornell University),preprint,10.48550/arxiv.2108.07357,https://openalex.org/W4206848268,"Semantic communications focus on the transmission of semantic features. In this letter, we consider a task-oriented multi-user semantic communication system for multimodal data transmission. Particularly, partial users transmit images while the others transmit texts to inquiry the information about the images. To exploit the correlation among the multimodal data from multiple users, we propose a deep neural network enabled semantic communication system, named MU-DeepSC, to execute the visual question answering (VQA) task as an example. Specifically, the transceiver for MU-DeepSC is designed and optimized jointly to capture the features from the correlated multimodal data for task-oriented transmission. Simulation results demonstrate that the proposed MU-DeepSC is more robust to channel variations than the traditional communication systems, especially in the low signal-to-noise (SNR) regime.",https://doi.org/10.48550/arxiv.2108.07357,direct,指定团队负责人直接署名：Zhijin Qin,,7,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
task-oriented-semantic-communications-for-multimodal-data-2021,2021,Task-Oriented Semantic Communications for Multimodal Data.,Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li,arXiv (Cornell University),preprint,,https://openalex.org/W3201739761,"Semantic communications focus on the transmission of semantic features. In this article, we consider a task-oriented semantic communication system for multimodal data transmission. Particularly, partial users transmit images while the others transmit texts to inquiry the information about the images. To exploit the correlation among the multimodal data from multiple users, we propose a deep neural network enabled semantic communication system, named MU-DeepSC, to execute the visual question answering (VQA) task as an example. Specifically, the transceiver for MU-DeepSC is designed and optimized jointly to capture the features from the correlated multimodal data for task-oriented transmission. Simulation results demonstrate that the proposed MU-DeepSC is more robust to channel variations than the traditional communication systems, especially in the low signal-to-noise (SNR) regime.",https://arxiv.org/pdf/2108.07357.pdf,direct,指定团队负责人直接署名：Zhijin Qin,Imperial College London,2,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-robust-deep-learning-enabled-semantic-communication-system-for-text-2022,2022,A Robust Deep Learning Enabled Semantic Communication System for Text,Xiang Peng; Zhijin Qin; Danlan Huang; Xiaoming Tao; Jianhua Lu; Guangyi Liu; Chengkang Pan,arXiv (Cornell University),preprint,10.48550/arxiv.2206.02596,https://openalex.org/W4281851489,"With the advent of the 6G era, the concept of semantic communication has attracted increasing attention. Compared with conventional communication systems, semantic communication systems are not only affected by physical noise existing in the wireless communication environment, e.g., additional white Gaussian noise, but also by semantic noise due to the source and the nature of deep learning-based systems. In this paper, we elaborate on the mechanism of semantic noise. In particular, we categorize semantic noise into two categories: literal semantic noise and adversarial semantic noise. The former is caused by written errors or expression ambiguity, while the latter is caused by perturbations or attacks added to the embedding layer via the semantic channel. To prevent semantic noise from influencing semantic communication systems, we present a robust deep learning enabled semantic communication system (R-DeepSC) that leverages a calibrated self-attention mechanism and adversarial training to tackle semantic noise. Compared with baseline models that only consider physical noise for text transmission, the proposed R-DeepSC achieves remarkable performance in dealing with semantic noise under different signal-to-noise ratios.",https://doi.org/10.48550/arxiv.2206.02596,direct,指定团队负责人直接署名：Zhijin Qin,,3,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-unified-multi-task-semantic-communication-system-for-multimodal-data-2022,2022,A Unified Multi-Task Semantic Communication System for Multimodal Data,Guangyi Zhang; Qiyu Hu; Zhijin Qin; Yunlong Cai; Guanding Yu; Xiaoming Tao,arXiv (Cornell University),preprint,10.48550/arxiv.2209.07689,https://openalex.org/W4296415377,"Task-oriented semantic communications have achieved significant performance gains. However, the employed deep neural networks in semantic communications have to be updated when the task is changed or multiple models need to be stored for performing different tasks. To address this issue, we develop a unified deep learning-enabled semantic communication system (U-DeepSC), where a unified end-to-end framework can serve many different tasks with multiple modalities of data. As the number of required features varies from task to task, we propose a vector-wise dynamic scheme that can adjust the number of transmitted symbols for different tasks. Moreover, our dynamic scheme can also adaptively adjust the number of transmitted features under different channel conditions to optimize the transmission efficiency. Particularly, we devise a lightweight feature selection module (FSM) to evaluate the importance of feature vectors, which can hierarchically drop redundant feature vectors and significantly accelerate the inference. To reduce the transmission overhead, we then design a unified codebook for feature representation to serve multiple tasks, where only the indices of these task-specific features in the codebook are transmitted. According to the simulation results, the proposed U-DeepSC achieves comparable performance to the task-oriented semantic communication system designed for a specific task but with significant reduction in both transmission overhead and model size.",https://doi.org/10.48550/arxiv.2209.07689,direct,指定团队负责人直接署名：Zhijin Qin,,29,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
a-unified-multi-task-semantic-communication-system-with-domain-adaptation-2022,2022,A Unified Multi-Task Semantic Communication System with Domain Adaptation,Guangyi Zhang; Qiyu Hu; Zhijin Qin; Yunlong Cai; Guanding Yu,arXiv (Cornell University),preprint,10.48550/arxiv.2206.00254,https://openalex.org/W4320738258,"The task-oriented semantic communication systems have achieved significant performance gain, however, the paradigm that employs a model for a specific task might be limited, since the system has to be updated once the task is changed or multiple models are stored for serving various tasks. To address this issue, we firstly propose a unified deep learning enabled semantic communication system (U-DeepSC), where a unified model is developed to serve various transmission tasks. To jointly serve these tasks in one model with fixed parameters, we employ domain adaptation in the training procedure to specify the task-specific features for each task. Thus, the system only needs to transmit the task-specific features, rather than all the features, to reduce the transmission overhead. Moreover, since each task is of different difficulty and requires different number of layers to achieve satisfactory performance, we develop the multi-exit architecture to provide early-exit results for relatively simple tasks. In the experiments, we employ a proposed U-DeepSC to serve five tasks with multi-modalities. Simulation results demonstrate that our proposed U-DeepSC achieves comparable performance to the task-oriented semantic communication system designed for a specific task with significant transmission overhead reduction and much less number of model parameters.",https://doi.org/10.48550/arxiv.2206.00254,direct,指定团队负责人直接署名：Zhijin Qin,,0,True,OpenAlex metadata; DOI verified in acquisition/validation stage,excluded,非正式期刊/会议技术论文类型：preprint,,pending,,,0,metadata_screened,
