year,title,authors,venue,doi,arxiv_id,category,scope_status,abstract,oa_url,id,cited_by_count,pdf,download_status,analysis_status
2021,Deep Learning Enabled Semantic Communication Systems,Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li; Biing‐Hwang Juang,IEEE Transactions on Signal Processing,10.1109/tsp.2021.3071210,,文本、语音与大模型,核心算法/系统,"Recently, deep learned enabled end-to-end commu- nication systems have been developed to merge all physical layer blocks in the traditional communication systems, which make joint transceiver optimization possible. Powered by deep learning, nat- ural language processing has achieved great success in analyzing and understanding a large amount of language texts. Inspired by research results in both areas, we aim to provide a new view on communication systems from the semantic level. Particularly, we propose a deep learning based semantic communication system, named DeepSC, for text transmission. Based on the Transformer, the DeepSC aims at maximizing the system capacity and minimiz- ing the semantic errors by recovering the meaning of sentences, rather than bit- or symbol-errors in traditional communications. Moreover, transfer learning is used to ensure the DeepSC appli- cable to different communication environments and to accelerate the model training process. To justify the performance of semantic communications accurately, we also initialize a new metric, named sentence similarity. Compared with the traditional communication system without considering semantic information exchange, the proposed DeepSC is more robust to channel variation and is able to achieve better performance, especially in the low signal-to-noise (SNR) regime, as demonstrated by the extensive simulation results. Index Terms—Deep learning, end-to-end communication, semantic communication, transfer learning, Transformer.",https://ieeexplore.ieee.org/ielx7/78/9307529/09398576.pdf,https://openalex.org/W3036851434,1348,papers/Deep_Learning_Enabled_Semantic_Communication_Systems.pdf,downloaded,fulltext_extracted
2021,Semantic Communication Systems for Speech Transmission,Zhenzi Weng; Zhijin Qin,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2021.3087240,2102.12605,文本、语音与大模型,核心算法/系统,"Semantic communications could improve the trans- mission efﬁciency signiﬁcantly by exploring the semantic informa- tion. In this paper, we make an effort to recover the transmitted speech signals in the semantic communication systems, which minimizes the error at the semantic level rather than the bit or symbol level. Particularly, we design a deep learning (DL)- enabled semantic communication system for speech signals, named DeepSC-S. In order to improve the recovery accuracy of speech signals, especially for the essential information, DeepSC- S is developed based on an attention mechanism by utilizing a squeeze-and-excitation (SE) network. The motivation behind the attention mechanism is to identify the essential speech information by providing higher weights to them when training the neural network. Moreover, in order to facilitate the proposed DeepSC-S for dynamic channel environments, we ﬁnd a general model to cope with various channel conditions without retraining. Furthermore, we investigate DeepSC-S in telephone systems as well as multimedia transmission systems to verify the model adaptation in practice. The simulation results demonstrate that our proposed DeepSC-S outperforms the traditional communi- cations in both cases in terms of the speech signals metrics, such as signal-to-distortion ration and perceptual evaluation of speech distortion. Besides, DeepSC-S is more robust to channel variations, especially in the low signal-to-noise (SNR) regime.",https://qmro.qmul.ac.uk/xmlui/handle/123456789/72821,https://openalex.org/W3166791908,604,papers/Semantic_Communication_Systems_for_Speech_Transmission.pdf,downloaded,fulltext_extracted
2021,Semantic Communications for Speech Recognition,Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li,2021 IEEE Global Communications Conference (GLOBECOM),10.1109/globecom46510.2021.9685250,2107.11190,文本、语音与大模型,核心算法/系统,"The traditional communications transmit all the source data represented by bits, regardless of the content of source and the semantic information required by the receiver. However, in some applications, the receiver only needs part of the source data that represents critical semantic information, which prompts to transmit the application-related information, especially when bandwidth resources are limited. In this pa- per, we consider a semantic communication system for speech recognition by designing the transceiver as an end-to-end (E2E) system. Particularly, a deep learning (DL)-enabled semantic communication system, named DeepSC-SR, is developed to learn and extract text-related semantic features at the transmitter, which motivates the system to transmit much less than the source speech data without performance degradation. Moreover, in order to facilitate the proposed DeepSC-SR for dynamic channel environments, we investigate a robust model to cope with various channel environments without requiring retraining. The simulation results demonstrate that our proposed DeepSC- SR outperforms the traditional communication systems in terms of the speech recognition metrics, such as character-error-rate and word-error-rate, and is more robust to channel variations, especially in the low signal-to-noise (SNR) regime.",,https://openalex.org/W4210330825,51,papers/Semantic_Communications_for_Speech_Recognition.pdf,downloaded,fulltext_extracted
2021,Semantic Communications for Speech Signals,Zhenzi Weng; Zhijin Qin; Geoffrey Ye Li,,10.1109/icc42927.2021.9500590,,文本、语音与大模型,核心算法/系统,"We consider a semantic communication system for speech signals, named DeepSC-S. Motivated by the break- throughs in deep learning (DL), we make an effort to recover the transmitted speech signals in the semantic communication systems, which minimizes the error at the semantic level rather than the bit level or symbol level as in the traditional commu- nication systems. Particularly, based on an attention mechanism employing squeeze-and-excitation (SE) networks, we design the transceiver as an end-to-end (E2E) system, which learns and extracts the essential speech information. Furthermore, in order to facilitate the proposed DeepSC-S to work well on dynamic practical communication scenarios, we ﬁnd a model yielding good performance when coping with various channel environments without retraining process. The simulation results demonstrate that our proposed DeepSC-S is more robust to channel varia- tions and outperforms the traditional communication systems, especially in the low signal-to-noise (SNR) regime. Index Terms—Deep learning, end-to-end communication, semantic communication, speech transmission, squeeze-and- excitation networks.",,https://openalex.org/W3189491540,93,papers/Semantic_Communications_for_Speech_Signals.pdf,downloaded,fulltext_extracted
2021,Semantic Communications: Principles and Challenges,"Zhijin Qin; Xiaoming Tao; Jianhua Lu; Tong, Wen; Li, Geoffrey Ye",arXiv (Cornell University),10.48550/arxiv.2201.01389,2201.01389,基础理论与综述,综述/观点,"Semantic communication, regarded as the breakthrough beyond the Shannon paradigm, aims at the successful transmission of semantic information conveyed by the source rather than the accurate reception of each single symbol or bit regardless of its meaning. This article provides an overview on semantic communications. After a brief review of Shannon information theory, we discuss semantic communications with theory, framework, and system design enabled by deep learning. Different from the symbol/bit error rate used for measuring conventional communication systems, performance metrics for semantic communications are also discussed. The article concludes with several open questions in semantic communications.",https://arxiv.org/pdf/2201.01389,https://openalex.org/W4226150551,269,papers/Semantic_Communications_Principles_and_Challenges.pdf,downloaded,fulltext_extracted
2021,Task-Oriented Multi-User Semantic Communications for VQA,Huiqiang Xie; Zhijin Qin; Geoffrey Ye Li,IEEE Wireless Communications Letters,10.1109/lwc.2021.3136045,2108.07357,图像、视频与沉浸媒体,核心算法/系统,"Semantic communications focus on the transmission of semantic features. In this letter, we consider a task-oriented multi-user semantic communication system for multimodal data transmission. Particularly, partial users transmit images while the others transmit texts to inquiry the information about the images. To exploit the correlation among the multimodal data from mul- tiple users, we propose a deep neural network enabled semantic communication system, named MU-DeepSC, to execute the visual question answering (VQA) task as an example. Speciﬁcally, the transceiver for MU-DeepSC is designed and optimized jointly to capture the features from the correlated multimodal data for task-oriented transmission. Simulation results demonstrate that the proposed MU-DeepSC is more robust to channel variations than the traditional communication systems, especially in the low signal-to-noise (SNR) regime.",https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/79203/2/Xie%20Task-Oriented%20Multi-User%202021%20Accepted.pdf,https://openalex.org/W4206175303,218,papers/Task-Oriented_Multi-User_Semantic_Communications_for_VQA.pdf,downloaded,fulltext_extracted
2021,Toward Wisdom-Evolutionary and Primitive-Concise 6G: A New Paradigm of Semantic Communication Networks,Ping Zhang; Wenjun Xu; Hui Gao; Kai Niu; Xiaodong Xu; Xiaoqi Qin; Caixia Yuan; Zhijin Qin; Haitao Zhao; Jibo Wei; Fangwei Zhang,Engineering,10.1016/j.eng.2021.11.003,,语义网络、资源分配与边缘智能,核心算法/系统,"The sixth generation (6G) mobile networks will reshape the world by offering instant, efficient, and intelligent hyper-connectivity, as envisioned by the previously proposed Ubiquitous-X 6G networks. Such hyper-massive and global connectivity will introduce tremendous challenges into the operation and management of 6G networks, calling for revolutionary theories and technological innovations. To this end, we propose a new route to boost network capabilities toward a wisdom-evolutionary and primitive-concise network (WePCN) vision for the Ubiquitous-X 6G network. In particular, we aim to concretize the evolution path toward the WePCN by first conceiving a new semantic representation framework, namely semantic base, and then establishing an intelligent and efficient semantic communication (IE-SC) network architecture. In the IE-SC architecture, a semantic intelligence plane is employed to interconnect the semantic-empowered physical-bearing layer, network protocol layer, and application-intent layer via semantic information flows. The proposed architecture integrates artificial intelligence and network technologies to enable intelligent interactions among various communication objects in 6G. It features a lower bandwidth requirement, less redundancy, and more accurate intent identification. We also present a brief review of recent advances in semantic communications and highlight potential use cases, complemented by a range of open challenges for 6G.",https://doi.org/10.1016/j.eng.2021.11.003,https://openalex.org/W3213872105,284,,not_downloaded,metadata_and_abstract
2022,A Robust Deep Learning Enabled Semantic Communication System for Text,Xiang Peng; Zhijin Qin; Danlan Huang; Xiaoming Tao; Jianhua Lü; Guangyi Liu; Chengkang Pan,GLOBECOM 2022 - 2022 IEEE Global Communications Conference,10.1109/globecom48099.2022.10000901,2206.02596,鲁棒性、安全与语义噪声,核心算法/系统,"With the advent of the 6G era, the concept of seman- tic communication has attracted increasing attention. Compared with conventional communication systems, semantic communica- tion systems are not only affected by physical noise existing in the wireless communication environment, e.g., additional white Gaussian noise, but also by semantic noise due to the source and the nature of deep learning-based systems. In this paper, we elaborate on the mechanism of semantic noise. In particular, we categorize semantic noise into two categories: literal semantic noise and adversarial semantic noise. The former is caused by written errors or expression ambiguity, while the latter is caused by perturbations or attacks added to the embedding layer via the semantic channel. To prevent semantic noise from inﬂuencing semantic communication systems, we present a robust deep learning enabled semantic communication system (R-DeepSC) that leverages a calibrated self-attention mechanism and adver- sarial training to tackle semantic noise. Compared with baseline models that only consider physical noise for text transmission, the proposed R-DeepSC achieves remarkable performance in dealing with semantic noise under different signal-to-noise ratios.",,https://openalex.org/W4315629832,86,papers/A_Robust_Deep_Learning_Enabled_Semantic_Communication_System_for_Text.pdf,downloaded,fulltext_extracted
2022,A Unified Multi-Task Semantic Communication System with Domain Adaptation,Guangyi Zhang; Qiyu Hu; Zhijin Qin; Yunlong Cai; Guanding Yu,GLOBECOM 2022 - 2022 IEEE Global Communications Conference,10.1109/globecom48099.2022.10000850,2206.00254,多模态、多任务与多用户,核心算法/系统,"The task-oriented semantic communication sys- tems have achieved signiﬁcant performance gain, however, the paradigm that employs a model for a speciﬁc task might be limited, since the system has to be updated once the task is changed or multiple models are stored for serving various tasks. To address this issue, we ﬁrstly propose a uniﬁed deep learning enabled semantic communication system (U-DeepSC), where a uniﬁed model is developed to serve various transmission tasks. To jointly serve these tasks in one model with ﬁxed parameters, we employ domain adaptation in the training procedure to specify the task-speciﬁc features for each task. Thus, the system only needs to transmit the task-speciﬁc features, rather than all the features, to reduce the transmission overhead. Moreover, since each task is of different difﬁculty and requires different number of layers to achieve satisfactory performance, we develop the multi-exit architecture to provide early-exit results for relatively simple tasks. In the experiments, we employ a proposed U- DeepSC to serve ﬁve tasks with multi-modalities. Simulation re- sults demonstrate that our proposed U-DeepSC achieves compa- rable performance to the task-oriented semantic communication system designed for a speciﬁc task with signiﬁcant transmission overhead reduction and much less number of model parameters.",,https://openalex.org/W4315630065,56,papers/A_Unified_Multi-Task_Semantic_Communication_System_with_Domain_Adaptation.pdf,downloaded,fulltext_extracted
2022,"Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications",Denız Gündüz; Zhijin Qin; Iñaki Estella Aguerri; Harpreet S. Dhillon; Zhaohui Yang; Aylin Yener; Kai‐Kit Wong; Chan‐Byoung Chae,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2022.3223408,2207.09353,基础理论与综述,综述/观点,"Communication systems to date primarily aim at reliably communicating bit sequences. Such an approach provides efﬁcient engi- neering designs that are agnostic to the meanings of the messages or to the goal that the message exchange aims to achieve. Next generation systems, however, can be potentially enriched by folding message semantics and goals of communication into their design. Further, these systems can be made cognizant of the context in which communication exchange takes place, providing avenues for novel design insights. This tutorial summarizes the efforts to date, starting from its early adaptations, semantic-aware and task-oriented communications, covering the foun- dations, algorithms and potential implementations. The focus is on approaches that utilize information theory to provide the foundations, as well as the signiﬁcant role of learning in semantics and task-aware communications.",,https://openalex.org/W4313455370,636,papers/Beyond_Transmitting_Bits_Context_Semantics_and_Task-Oriented_Communications.pdf,downloaded,fulltext_extracted
