citation_key,year,title,authors,venue,work_type,doi,openalex_id,abstract,official_url,team_scope,team_evidence,affiliations,cited_by_count,source_verified,source_verification,screening_status,screening_reason,pdf,download_status,download_source,sha256,pages,analysis_status,cross_team_duplicate_of
a-lite-distributed-semantic-communication-system-for-internet-of-things-2021,2021,A Lite Distributed Semantic Communication System for Internet of Things,Huiqiang Xie; Zhijin Qin,IEEE Journal on Selected Areas in Communications,article,10.1109/jsac.2020.3036968,,,https://doi.org/10.1109/jsac.2020.3036968,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,458,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
a-hybrid-bit-and-semantic-communication-system-2026,2026,A hybrid bit and semantic communication system,Kaiwen Yu; Renhe Fan; Gang Wu; Zhijin Qin,Science China Information Sciences,article,10.1007/s11432-025-4622-x,,,https://doi.org/10.1007/s11432-025-4622-x,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
robust-multimodal-semantic-communications-with-semantic-fusion-and-compensation-2026,2026,Robust Multimodal Semantic Communications with Semantic Fusion and Compensation,Xiang Peng; Zhijin Qin; Xiaoming Tao; Jianhua Lu,ICC 2026 - IEEE International Conference on Communications,proceedings-article,10.1109/icc59461.2026.11588011,,,https://doi.org/10.1109/icc59461.2026.11588011,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
generalizable-3d-gaussian-splatting-enabled-immersive-video-communications-with-semantic-coding-2025,2025,Generalizable 3D Gaussian Splatting Enabled Immersive Video Communications with Semantic Coding,Dingxi Yang; Zhijin Qin,"Proceedings of the 3rd ACM Workshop on Mobile Immersive Computing, Networking, and Systems",proceedings-article,10.1145/3742889.3768350,,,https://doi.org/10.1145/3742889.3768350,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
large-ai-model-enabled-generative-semantic-communications-for-image-transmission-2025,2025,Large AI Model-Enabled Generative Semantic Communications for Image Transmission,Qiyu Ma; Wanli Ni; Zhijin Qin,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,proceedings-article,10.1109/globecom59602.2025.11432458,,,https://doi.org/10.1109/globecom59602.2025.11432458,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
robust-semantic-aware-neural-video-compression-2024,2024,Robust Semantic-Aware Neural Video Compression,Hao Cao; Jiangkai Ying; Zhijin Qin,2024 IEEE Globecom Workshops (GC Wkshps),proceedings-article,10.1109/gcwkshp64532.2024.11100772,,,https://doi.org/10.1109/gcwkshp64532.2024.11100772,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
multimodal-semantic-communication-with-information-theoretic-disentangled-representations-2026,2026,Multimodal Semantic Communication With Information-Theoretic Disentangled Representations,Fan Gao; Youzheng Wang; Zhijin Qin; Feifei Gao,IEEE Transactions on Wireless Communications,article,10.1109/twc.2026.3707164,,,https://doi.org/10.1109/twc.2026.3707164,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
semantic-aware-image-compressed-sensing-2023,2023,Semantic-Aware Image Compressed Sensing,Bowen Zhang; Zhijin Qin; Geoffrey Ye Li,2023 IEEE 33rd International Workshop on Machine Learning for Signal Processing (MLSP),proceedings-article,10.1109/mlsp55844.2023.10285864,,,https://doi.org/10.1109/mlsp55844.2023.10285864,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,5,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
joint-semantic-channel-coding-and-modulation-for-point-cloud-2025,2025,Joint Semantic-Channel Coding and Modulation for Point Cloud,Jingkai Ying; Zhijin Qin; Liejun Wang; Xiaoming Tao,ICC 2025 - IEEE International Conference on Communications,proceedings-article,10.1109/icc52391.2025.11161502,,,https://doi.org/10.1109/icc52391.2025.11161502,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,1,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
an-information-theoretic-metric-for-semantic-value-of-spatiotemporal-information-2026,2026,An Information-Theoretic Metric for Semantic Value of Spatiotemporal Information,Zijing Wang; Zhijin Qin; Siyu Lin; Wei Feng,IEEE INFOCOM 2026 - IEEE Conference on Computer Communications,proceedings-article,10.1109/infocom59046.2026.11571369,,,https://doi.org/10.1109/infocom59046.2026.11571369,direct,补充数据库轮次核验：指定负责人直接署名（Zhijin Qin）；Crossref/DBLP 正式 DOI 元数据。,,0,True,Crossref/DBLP late-index audit; DOI publisher record,included_late_indexed,补充数据库检索发现的正式同行评审技术论文；通过负责人直接署名、年份、DOI、主题和文献类型核验,,pending,,,0,metadata_screened,
