title,doi
Deep Learning Enabled Semantic Communication Systems,10.1109/tsp.2021.3071210
Semantic Communications for Speech Signals,10.1109/icc42927.2021.9500590
Mem-DeepSC: A Semantic Communication System with Memory,10.1109/icc45041.2023.10279664
"Multimedia Semantic Communications: Representation, Encoding and Transmission",10.1109/mnet.001.2200468
Semantic-Aware Speech-to-Text Transmission Over MIMO Channels,10.1109/iccworkshops57953.2023.10283658
Task-Oriented Explainable Semantic Communications Based on Structured Scene Graphs,10.1109/globecom54140.2023.10436793
Task-Oriented Semantic Communications for Speech Transmission,10.1109/vtc2023-fall60731.2023.10333632
A Robust Semantic Text Communication System,10.1109/twc.2024.3381950
AI Empowered Wireless Communications: From Bits to Semantics,10.1109/jproc.2024.3437730
Hybrid Digital-Analog Joint Semantic-Channel Coding for Image Transmission,10.1109/gcwkshp64532.2024.11101089
"Intellicise Wireless Networks From Semantic Communications: A Survey, Research Issues, and Challenges",10.1109/comst.2024.3443193
Synchronous Semantic Communications for Video and Speech,10.1109/icc51166.2024.10622487
Task-Oriented Scene Graph-Based Semantic Communications With Adaptive Channel Coding,10.1109/twc.2024.3450697
Wireless Video Transmission with Joint Semantic-Channel Coding,10.1109/gcwkshp64532.2024.11100878
A Robust Image Semantic Communication System With Multi-Scale Vision Transformer,10.1109/jsac.2025.3531413
"Balancing Security and Efficiency in GAI-Driven Semantic Communication: Challenges, Solutions, and Future Paths",10.1109/mnet.2025.3578783
Deep Learning-Based Semantic Communication System for Wireless Image Transmission,10.1109/lwc.2025.3570499
Energy-Efficient Resource Allocation for Multi-User Semantic Communications: A Deep Reinforcement Learning Approach,10.1109/lwc.2025.3548677
Generative Semantic Communications for Robust Speech-to-Text Translation,10.1109/twc.2025.3590671
Knowledge Graph-Enhanced Robust Cognitive Semantic Communication Against Semantic Impairment,10.1109/tcomm.2025.3649647
On the Role of Semantic Communication in Non-Terrestrial Networks,10.1109/mcom.002.2400595
Partial Sampling-Based Semantic Communications,10.1109/tcomm.2025.3579701
Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,10.1109/tccn.2025.3546935
Secure Transmission in Wireless Semantic Communications With Adversarial Training,10.1109/lcomm.2025.3526601
Semantic-Enabled Video Transmission over Packet Erasure Channel,10.1109/iccworkshops67674.2025.11162464
Meta-Curriculum Federated Learning for Adaptive Task-Oriented Semantic Communication,10.1109/lwc.2026.3685958
