title,doi,arnumber
Mem-DeepSC: A Semantic Communication System with Memory,10.1109/icc45041.2023.10279664,10279664
A Robust Semantic Text Communication System,10.1109/twc.2024.3381950,10486856
AI Empowered Wireless Communications: From Bits to Semantics,10.1109/jproc.2024.3437730,10639525
Hybrid Digital-Analog Joint Semantic-Channel Coding for Image Transmission,10.1109/gcwkshp64532.2024.11101089,11101089
"Intellicise Wireless Networks From Semantic Communications: A Survey, Research Issues, and Challenges",10.1109/comst.2024.3443193,10634888
Synchronous Semantic Communications for Video and Speech,10.1109/icc51166.2024.10622487,10622487
Task-Oriented Scene Graph-Based Semantic Communications With Adaptive Channel Coding,10.1109/twc.2024.3450697,10666082
Wireless Video Transmission with Joint Semantic-Channel Coding,10.1109/gcwkshp64532.2024.11100878,11100878
A Robust Image Semantic Communication System With Multi-Scale Vision Transformer,10.1109/jsac.2025.3531413,10854360
"Balancing Security and Efficiency in GAI-Driven Semantic Communication: Challenges, Solutions, and Future Paths",10.1109/mnet.2025.3578783,11030612
Deep Learning-Based Semantic Communication System for Wireless Image Transmission,10.1109/lwc.2025.3570499,11005395
Energy-Efficient Resource Allocation for Multi-User Semantic Communications: A Deep Reinforcement Learning Approach,10.1109/lwc.2025.3548677,10915558
Generative Semantic Communications for Robust Speech-to-Text Translation,10.1109/twc.2025.3590671,11097041
Knowledge Graph-Enhanced Robust Cognitive Semantic Communication Against Semantic Impairment,10.1109/tcomm.2025.3649647,11318662
On the Role of Semantic Communication in Non-Terrestrial Networks,10.1109/mcom.002.2400595,11020588
Partial Sampling-Based Semantic Communications,10.1109/tcomm.2025.3579701,11036176
Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,10.1109/tccn.2025.3546935,10907944
Secure Transmission in Wireless Semantic Communications With Adversarial Training,10.1109/lcomm.2025.3526601,10830521
Semantic-Enabled Video Transmission over Packet Erasure Channel,10.1109/iccworkshops67674.2025.11162464,11162464
Meta-Curriculum Federated Learning for Adaptive Task-Oriented Semantic Communication,10.1109/lwc.2026.3685958,11489028
